text,true_label,pred_label,region,confidence,correct,has_negation
ما اغبي منها غير الي بيسمعها,Negative,Negative,nile_basin,0.9656,True,True
اذا كنت فاكر المستاجرين هيتركوا مساكنهم بالسهوله ده لا دول عندهم القدره والمقدره و الحق في اقالة هذه الحكومه الفاشله,Negative,Negative,nile_basin,0.8925,True,True
ونا مش طالعه نين نلقي كلب لزواج,Negative,Negative,maghrebi,0.9471,True,True
تابعوا بعض، الابداع يمني والتميز لا يتوقف، كملوا المسيرة,Positive,Positive,nile_basin,0.9391,True,True
تماما عشر حالات ما بمثلو ملايين البنات الي احتفلوا .ما اجمل غيرة الشب السوري علينا ❤️,Positive,Positive,levantine,0.8766,True,True
ما شاء الله كل القرارات زينه,Positive,Positive,gulf,0.9652,True,True
مو مانع حمل مانع صواعق يرادلها بيها بلة جنان,Negative,Positive,levantine,0.5908,False,True
خراسي وسد حلقك بشي صرماي خراي عليك وعلي نظام سابق مكوع رحلنا اخين بثورة قدمناهم كرمال الوطن واخوتي كلهم مع ثورة بس علي حق مو ظلم ونهب وقتل باسم ثورة ياكلب لما قمنا ثورة انت بانو زباله كنت لا اثبتلك انو انت حمار وكلب انا سنه انو نظام بدي احب فيه تضرب منك لا23 جولاني تبعك تفي عليك وعلي شرفك حقك فرك مصدي,Negative,Negative,levantine,0.9696,True,True
القضاء الاردني عادل، ويجب محاكمة مين ما كان اذا كانت التهمة تمس امن واستقرار البلد,Positive,Positive,levantine,0.9525,True,True
اراقب لغة الشفاه ما جابوا الا استقلاله وسلامة اراضيه اما الوحده مدري ههه,Negative,Negative,nile_basin,0.7356,True,True
ايمانا الكبير بربنا تعدا كل الحدود وثقتنا بملكنا مليون واذا متنا هذا الشي الله كاتبه الله يحمي وطنا من الناس اللي بتعمل فتنه وين ما راحت,Positive,Positive,levantine,0.9703,True,True
مليون مبررروك ياحبيبي ما تهل علينا بالايف كدا ولا فيديو طمنا عليك حقنا يا جدع وعرفنا اخبارك وجديدك وقولنا فعلا هتعمل مسلسل كارثه طبيعه دا بجد باذن الله تعالي,Positive,Positive,nile_basin,0.9318,True,True
حبيب قلبي ابوي الغالي الله يطول بعمره يخليلي اياك ما يحرمني منك وتضل منور حياتي يارب,Positive,Positive,levantine,0.9747,True,True
بدي افهم ليش التركيز علي قطاع الترفيه والسياحة الذي اثبت انو قطاع لا يعتمد عليه ، يجب التركيز علي قطاعات اهم مثل الزراعة الخدمات وقطاع الصناعة ولو كانت في صناعات خفيفة,Positive,Positive,levantine,0.8714,True,True
المشكلة التعميم اكبر مشكلة عم نواجها بيطلع واحد من اي بلد او محافظة اوطائفة الي الخمثلا مو منيح بيشملو الكل للاسف,Positive,Negative,levantine,0.6178,False,True
كرغولي لا يسكت حتي يصلخو المغرب كان ابحار يقول الامم المتحدة هاهي الامم المتحدة تقول الحكم الداتي هوا الحل بق لي كرغولي غير انغول,Negative,Negative,maghrebi,0.9552,True,True
يعني شدعوه هلگد لطيفة ومحبوبة وحبابه وكلبچ طيب ومثقفة مو بنية كب كيييك عمييي,Positive,Positive,levantine,0.9541,True,True
ليكون كل شيء شو قلبها الكلاب تاكل من طفلها مستحيل لا حول ولا قوه الا بالله,Negative,Negative,maghrebi,0.9354,True,True
الله يبارك عليك رحمونه الغالية والتفوق من طبعك مش غريب عليك وربي يحفظك بحفظه التام وبعينه التي لا تنام ودوم في القمة يارب يارب يارب,Positive,Positive,maghrebi,0.9771,True,True
ما شاء الله ربي يوفقج ويحقق طموحج,Positive,Positive,gulf,0.9799,True,True
مازال كاين الخير ف بلاد الخير . صارفين ع جبهة البوليزاريو و المديونية صفر . اهم شيء ان الاراضي الجزائرية لم تباع للاغراب م خرجوش الشعب من ديارهم وم هدموش ديار الناس و مدوها لاي اجنبي الدولة تصرف و الشعب ف داره ياكل يشرب و متمتع خاف ع روحك اللي خانقك الدين و تطرد من بيتك,Negative,Negative,maghrebi,0.5492,True,True
انت فك ديرتك بالاول من هجوم الروس لا حق علي التحرش بالدول الثانيه,Negative,Negative,gulf,0.9419,True,True
انا والله لا يهمني في التليفون و الاشهار . اللمة محلاها ، الضحكة و الجو الي خطفلي قلبي و انا في الغربة . ربي يفضلكم لبعضكم ، ربي يحميكم و ان شاء الله ديما ملمومين . و الي تحرم كيفي من اللمة هذي ربي يصبرنا و ان شاء الله حتي احنا نتلموا من,Positive,Positive,maghrebi,0.9673,True,True
لا ترحيل لا والو قاعدين يكثرو كالبرغوث و يتاكثرو كالارانب خمسة سنين فقط سنصبح اقلية في بلادنا,Negative,Negative,maghrebi,0.9679,True,True
كاش خبر علي المليييك ميمي رونديلا سكايري لا ريح من ولا مزال مشقوق بسباب سنغالي لي دمرهله قاع ؟,Negative,Negative,maghrebi,0.939,True,True
يا حمار حركه الفم مو نفس الكلام اللي تبيه يا فلسطز,Negative,Negative,gulf,0.9714,True,True
الله لا يسامحه الي جاب الكوتا علي المجلس.,Positive,Negative,levantine,0.949,False,True
شبيها الوطنية ما تحطش الغناية هذي ،و الغريبة ، غناية روعة و الي يسمعها يولي يحب تونس حتي لو كان يكرها ، يا تونس 7 فيق فيق فيييق,Positive,Positive,maghrebi,0.9139,True,True
ما ادري ليه القرار هذا طلع كذا احسه شين مو مضبوط,Negative,Negative,gulf,0.9455,True,True
يعني لو ما الخوف من الاهل والگرايب الله يعلم شسون . يعني مخافت الله ماكو خجل ماكو شرف ماكو,Negative,Negative,levantine,0.829,True,True
بجد مش عارفة اخر الكلام العبيط ده ايه وازاي تتساب كده,Negative,Negative,nile_basin,0.9028,True,True
ما عرفت مين كان موجود .علقت علي الحضور انو ما بدها هلقد.,Negative,Negative,levantine,0.65,True,True
قد ما تقعدو تخدمو فيهم وتكرولهم في دياركم ماهمش مش يخرجو,Negative,Negative,maghrebi,0.9074,True,True
البيت الذي لا يوجد به امراءة لا يساوي قرشين,Positive,Negative,levantine,0.8763,False,True
ديل مخهم مسلوخ حسب البقولوا ليهم بمشواا صح ولا غلط ما بشتغلوا بيهوو,Negative,Negative,nile_basin,0.9396,True,True
مو عاجبك روح انقلع بلد ثاني وعيش فيه ليش تبربر وتتحلطم كل القوانين مع صف المراءه لانها عانت الويل سابقا من الذكورين والحين كلشي رجع لوضعه الطبيعي,Negative,Negative,nile_basin,0.8389,True,True
التعليقات كتير مؤذيه حرام جد مش عاجبتكم ليش التجريح !,Positive,Negative,levantine,0.9444,False,True
كلو كوم والنسوان ع جروبات البنات لسا بيسالو عنجد نوقف استخدامها ولا لا اشاعات بجلطو بجلطوو,Negative,Negative,levantine,0.9363,True,True
ما في اجمل من بلدنا لبنان وخاصة منطقتنا الضنية الخضراء متابعتك من منطقة سير الضنية,Positive,Positive,levantine,0.9681,True,True
ما شاء اللهالله يوفقك .فخرا لكل شريف.,Positive,Positive,levantine,0.9788,True,True
بلادي احكمي واملكي واسعدي فلا عاش من لم يعش سيدا بحر دمي وبما في يدي انا لبلادي وحزبي فدا لك المجد يا تونس فاستمجدي بعزة شعبك طول المدي ونحن اسود الوغي فاشهدي وثوب اسودك يوم الزحام,Positive,Positive,maghrebi,0.9471,True,True
الدستور يقول احلف في الاراضي اليمنية وليس الخارج لكن اذا هذه الحكومة ما تحرر صنعاء فهي خاينه عميله جبنااا,Negative,Negative,nile_basin,0.9582,True,True
صحيح اما نبسط فيها للي كتب الكلمات ضاهر ما فهمهاش و ما عرفش الكلمة العربية اصلا ، هذاكة علاش كتبتهالو هوا عامللها copier coller من فيديو اخري كاتبين البارول غالط نفس الاخطاء بالظبط,Positive,Negative,maghrebi,0.5682,False,True
راح اعلق وياريت تردين عليه يامنال وصفتي الطاغوت بالصقر ولم اري صقرا رايناه جرذ بالحفرة وليس بالسماء ووصفتيه بتاج الراس وانا لم اري تاج علي راسه لا يمثل شيمة الملوك بل الصعلوك ابن قرية اجير عند سائق باص شعبي مابون مراهق في شبابه ابن شوارع والكل يعرف سيرة حياته وممكن تعرفين كل شي عنه في الفديوات وقلتي لم ياذي احد بدون سبب لكنه اعدم ناس ابرياءاطفال دفنوا وممكن ترجعين المستندات والفديوات التعذيب وايضا المطربين ولعبين كرة القدم وغيرهم الاكراد والعرب والابطال من الضباط من اهلنا الانبار محمد مظلوم والطبيب المشهور راجي التكريتي وغيرهم اذهبي واستقصي الملعومات والبقية هل كان شجاع لكنه لم يطلق طلقة علي الامريكان حين خروجه من السرداب الحفرة وحرسه الخاص من ابن عمه ابلغ عن مكانه للامريكان فكفاكم مدحا وتمجيدا هدم العراق دمر العراق بل الامريكان انقذوا العراق حقيقة و انقذوا الكويت من شر اعماله ،ان شاءالله في نار جهنم ابد الابدين ولعنه الله علي كل ظالم ومن يمجد بيه ومن يترحم عليه اذهبي الي بلدك الاردن واهتموا في امور البريطاني (الاردن),Negative,Negative,levantine,0.9259,True,True
الي خرجو قريب 70 والي دخلو ليوم قريب 300 يعني هز مل خابية و طيش في جابية ما عملنا شيء,Negative,Negative,maghrebi,0.5298,True,True
الله يعطيك الصحة والعافية سعادتك صوت المواطن يجب اعادة النظر بقوانين الضمان الاجتماعي وتصويب اوضاع من رواتبهم التقاعدية تزيد عن خمسة الاف والذين يستنزفون خمسة وعشرين مليون سنويا من اموال الضمان والذين استغلوا القوانين لمصالحهم الخاصة واصدار قانون وليسمي قانون طوارئ واعادة رواتبهم الي خمسة الاف لان المقصود بالضمان ان يعيش حياة كريمة لا رفاهية وبذخ,Positive,Positive,levantine,0.9158,True,True
بنت ابو يمعه صدام اسمه يا النكرة يا المجنسه لا يسحبون جنسيتج منو ياينه هالحزة,Negative,Negative,gulf,0.9737,True,True
الله لا يردهم بستاهلو .اللي مو قد الجيزه خليه مخلل عند امه العين بالعين .,Negative,Negative,levantine,0.9456,True,True
مملكة الزريبة مراقبة بالملمتر اي تهور النتيجة ستكون كارثية هذا هو الواقع اما المواقع هذا ليس من اختصاصنا,Negative,Negative,maghrebi,0.9687,True,True
العاقبة للذين ما زالوا في بلادنا. هم عبء ثقيل علي التوانسة و خاصة الاتي يولدنا في الصغار.,Negative,Negative,maghrebi,0.9443,True,True
ههه ناس مريضه ما ايلك فيها حره,Negative,Negative,levantine,0.9727,True,True
وكان بلوفر ولا وحدة من الساقطات راااك قلتي واااو جمالك خارق للعادة ومدحتيها لكن عادي الليبيين هذا طبعكم مستحيل تتخلو عالتنمر والنفاق والمجامله ربي يحفظها بنت الاخ العقيد معمر القذافي هيا وخوتها اللي مازالو علي قيد الحياه وبعدين جمالها مش حاتشوفيه لا انتي ولا اللي المتعاليين في تعليقاتهم,Negative,Positive,maghrebi,0.5457,False,True
صدقت هذا بلدنا وهذا ارضنا وملازنا مهما سافرت لي دول اخري لن تجد افضل من وطنك,Positive,Positive,nile_basin,0.9743,True,True
لا حل ولا استقرار لمجتمعنا المسيحي الا بالفيدرالية بعيدا عن جماعة العد والسلاح والتطرف والولاء المذهبي وكل فسادهم وتخلفهم,Negative,Negative,levantine,0.5003,True,True
منور الدنيا كلها احمدنا ما تبلي هالكاريزما الله يحميك ويديمك يا فاتح الشام ❤️,Positive,Positive,levantine,0.9699,True,True
يااخت توكل انا من رائيي ان انتي تبطلي تكتبي عن اي موضوع سياسي ، سواء محلي او اقليمي لا شان لك به بتاتا ، وابقي في صمت فانه خيرا لكي ‏هذه نصيحتي ! ‏لاني نظرت الي كثير من التعليقات وحللتها والنتيجة سلبية والسبب انه لم يعد لكي قاعدة جمهور ، والاخرين غير متقبلين ل منشوارتك.,Positive,Negative,nile_basin,0.7298,False,True
هيه راحت تحارب الصوره النمطيه عن المراة قامت عملت مسلسل كله عهر عن المراة يعمي دماغ شغاله ما بتنامش,Negative,Negative,levantine,0.9542,True,True
السيد يوسف كناوي المحترم جنابك الكريم قلت وبصريح العبارة عرض عليه احد المستثمرين مبلغ مقابل منحه استثمار هل بامكانك ذكر اسمه وساعة الحديث بينكم ومتي يتم اتخاذ الاجرات القانونية بحق المستثمر المحروس وهنا سؤالين للاخوة والاخوات القانونين المحترمين اذا لم يتم الشكوي من قبل السيد يوسف كناوي هل يعتبر هذا تستر علي الموضوع ويعاقب عليه القانون؟ سيما التصريح صادر من المحافظ نفسه والسؤال الثاني هل يحق لي كمواطن ومن باب الحرص علي هيبة الدولة ومحاربة المبتزين ان اقيم دعوي علي السيد المحافظ؟ في حال تغاضي عن الموضوع وترك من هب ودب يرشي من هب ودب,Positive,Positive,levantine,0.741,True,True
هل ما زال عندي جهد ومن ساقاوم الحمد لله بلدنا بخير واما الحرافيش التي تصدر الشغب لا يقدرو علي فعل شيء لكني كبرت لا اتنطط للعمل اي شيء الله يحمي تونس وشعبها,Positive,Positive,maghrebi,0.8855,True,True
تبون داير بحال العجوزة لي ما تخلي ما دير لمرت ولدها فاللخر دير راسها باغيا غي الخير مسكينة,Negative,Negative,maghrebi,0.9556,True,True
ليس لهم اخلاق معفنين والله يدربهم مانشيني وانشياوتي وكوارديولا لن يفلحو المتكبر والمتعجرف ليس له مكان,Negative,Negative,maghrebi,0.9727,True,True
ننصحك خليھا اتجي منة احسن لك لانة مرات يكون يبي يجبد ع موضوع و خلاص . ھي العلاقة حلوة لما تكون مع شخص تعرفة و مضمون ولاكن ما اطيح روحك بدري . خلي لي بينكم رفق . اخوة . مش جنس و شھوة عشان تكبر و ادوم العلاقة,Positive,Positive,maghrebi,0.8292,True,True
مش لاقيين بالاردن كلها الا هاي المقرفة يعني عم تنزلو مستوي برامجكن لما بتجيبوا هيك مناظر ، استغفر الله العظيم بهالشهر الفضيل الواحد شو بدو يحكي شي بيقرف ومقزز الله يحرمنا هلطلة,Negative,Negative,levantine,0.9737,True,True
مو في وقته ابدا فيه اولويات اهم من كذا,Negative,Negative,gulf,0.6173,True,True
هنيئا لتونس بهذا الرئيس الرائع و الفصيح الذي سيجعل تونس الي جانب جزائر عمي تبون تخطو خطوات عملاقة و تغوص في زيكو واد الحراش السيدة ما عرفات باش تبلات عيات ماتعمل اشارات ليتم انقاذها لاكن لم يلاحظ احد,Positive,Positive,maghrebi,0.8865,True,True
مجحشين كانو حلبه مصارعه مو ملعب,Negative,Negative,levantine,0.9662,True,True
احسنت،هذا ما يريده معظم اللبنانييندوله شرعيه تمارس دورها و سلطتها علي كامل الاراضي اللبنانيه،محتكرة السلاح وقرار السلم والحرب،و محافظة علي نزاهة القضاء،و موفرة الامن والخدمات،و حريصه علي تطبيق الدستور والقانون علي الجميع،و فتح علاقات متميزه مع الخارج،و تضع حل لاموال المودعين,Positive,Positive,levantine,0.9503,True,True
يعني مش كفاية الصوت واللحن اخاذين ، كمان الكلمات عميقة يقشعر بدني كلما فكرت في معانيها ، فديت قلوبكم يا اهل تونس ، اخذتم من كل شيئ ؛ من ذوق وفن واخلاق وعلم ونجاح ، مااقدر اقول الا الله يحميكم من كل شر ، ويحفظكم من عين الحسود .,Positive,Positive,maghrebi,0.977,True,True
ما شاء الله عنها الحجه ملكه جمال,Positive,Positive,levantine,0.9652,True,True
ما شاء الله عليك سيدي الرئيس كلمتين يصاحبهن الكثير من المعاني,Positive,Positive,levantine,0.9708,True,True
الخطوات الكل صحاح يعطيك الصحة يا وردة اما احنا جداتنا وامهاتنا ما كانوش يعملوهم في الكوشة كانو يلصقوهم في الطابونة . بز الشعير يحب الطابونة الحامية والشعير باش ما يتفتفتش يزيدوه قبصة سميد قمح او سميد عادي وفي الاخر يفتفتوه و يرشوه بالماء المغلي والزيت,Positive,Positive,maghrebi,0.8632,True,True
صدقت انا عشت تحت القذافي 31سنه كانت حياه صعبه من فرص العمل نسبه البطاله بين الشباب في سنه 2009لي اكتر من 40% وضعف المرتبات ومشاكل السكن والبنيه التحتيه وان لم تكن طبال لي النظام فسياكلك {المالح} الفقر,Positive,Positive,maghrebi,0.5089,True,True
والله ما جاب الدمار للبلد غير هذا المجلس,Negative,Negative,levantine,0.9704,True,True
ول يا جماعة الخير ما كلنا الاردنيين ناصرنا غزه وعلي راسنا جلالة سيدنا الله يطول بعمره كان يخاطر بنفسه ويطلع في طائرات الهليكبتر ويرمي مساعدات فوق غزه والحرب مشتعله احنا كاردنيين قدوتنا جلالة الملك وسمو ولي عهده المحبوب لم يتوانو يوما في نصرت اخواننا في غزه وفي فلسطين وتقديم المساعدات لهم,Positive,Positive,levantine,0.9694,True,True
عملاء وجواسيس التنسيق الامني وجماعة دايتون لا يستحو ولا قيم عندهم العملاء ،,Negative,Negative,levantine,0.9732,True,True
ما قد رايت في حياتي ان عساكر تحرس لافتة الا في سيؤن. ارحلوا يا دنق، حضرموت ترفضكم، حضرموت ضدكم، ولا بد من اخراجكم من الجنوب العربي، طال الزمن او قصر.,Negative,Negative,nile_basin,0.9575,True,True
استثمار وليس دعم ان شاءلله ما نحتاج لدعم اي حد بعدين يمنون علينا.,Negative,Positive,gulf,0.8801,False,True
للامانه حكيها منطقي والبنت مو مجبوره تصرف علبيت الا اذا كانت بنت عالم وناس وحبت تساعد جوزها غير هيك مو مجبوره,Positive,Positive,levantine,0.9553,True,True
بالمناسبة جيش السودان هو اكثر الجيوش لتحالف دعم الشرعية اليمنية دعما لها بعد السعودية. لا اطماع ولا اجندات بارك الله فيهم وفي جيشهم.,Positive,Positive,nile_basin,0.97,True,True
البنت ما تصلح لهالاشياء,Negative,Negative,gulf,0.9507,True,True
ما شاء الله. ما احلاكم و ما احلي سيدنا ❤,Positive,Positive,levantine,0.971,True,True
للاسف ما جنة في قطر الوافدين والاسيوين اكثر من القطرين للاسف باقي يسوقون تكتك,Negative,Negative,gulf,0.9615,True,True
انت اضعف واهون واحقر من انك تشوه بالشهيد القائد مسمار راسك السيد الرئيس صدام حسين المجيد رحمه الله وبالتالي مش حاينفعك ولاحاتستفيد حاجة من منشوراتك القذرة عن الرجل فابحث لك عن شخص اخر تريد ان تشوهه,Positive,Negative,levantine,0.9259,False,True
و من هو هذا الحمار؟ مع شديد اعتذاري لمعشر الحمير. لا اقصد ما اسمه او وظيفته. اعرف هذا كله اقصد اليس هذا الذي وصفكم قبل ايام انكم حيوانات غير متحضرة؟ اذا كنت تري صواب رايه فذلك شانك. لكن غيرك له راي اخر,Negative,Negative,levantine,0.9531,True,True
والله العظيم نصيح الوجه الله لحد يسجل عن طريق معقب لان يورطون العالم المعقبين مو خوش اوادم الله وكيلكم هنانة الطلاب في تونس تون نصيحة عوفو المعقبين وهية ترة متكلف غير بالزايد 200$ اجراء التسجيل كلهة بلاش,Positive,Negative,maghrebi,0.7358,False,True
ما تغير اسمك لابو لهب او جرجس مش عيب عليك احمد و ملحد,Negative,Negative,nile_basin,0.9691,True,True
الي قاعدين يولدو ما يعرفوش حتي اشكونو البو او احبو اقيدوهم في تونس بنا قنون متسيرش في حتي بلاد رحلو ولديهم في اقرب وقت هوما وزغارهم هذا مطلب اشعب,Negative,Negative,maghrebi,0.9572,True,True
خدمة زينة كي تمرضي تعودي تحوسي علي امراة تفوتي عندها وكي تروحي تحجمي ولاداوي مرض داخلي ولاتاع نساء تحتاجي امراة وكي تروحي تشري ملابسك الداخلية وانت يتيمة ولا مش مزوجة تولي تحوسي علي امراة,Positive,Negative,maghrebi,0.8693,False,True
خراية ع هالعيشة بحياتنا ما رح نصير بتشهو للواحد سموت ويخلص من هدنيا,Negative,Negative,levantine,0.9719,True,True
"""يا عيني علي هالكلام الحلو! فعلا الانوثة هي قوة وحب، والياسمين ما بيليق الا بناس بيعرفوا قيمة الجمال الداخلي. كل الدعم الك يا ليندا ولكل امراة عربية عم تصنع التغيير بحب",Positive,Positive,levantine,0.9708,True,True
ما شاء الله قرار صائب وفقهم الله,Positive,Positive,gulf,0.9785,True,True
يا اخوتنا في الوطن العربي سوريا بحاجه الي دعم من كل الاخوه مش بحاجه الي خطاب كراهيه مع احترامي الي كل تعليقاتكم التي تدل علي وعيكم نحن لا نتدخل في اموركم ونتمنا لكم ولاحبائكن ان تكونوا بخير وسعاده,Positive,Positive,levantine,0.9726,True,True
بكل مكان في الزين والشين يعني البعض يحب ينزل عشان يصعد والبعض يحب يكون فوق بس بالتكبر والمتواضع الي ماشي سيده ماكلها من الاثنين بس قدره عند رب العالمين كبير فعشان جذي الواحد يفترض انه يكون علي بينه مع نفسه انا الحمدلله ابي الكل يوصل حق الي يبيه ويحقق كل امانيه لان بالنهاية ما راح يبقي شي فليش تحقر او تستنقص من شي ؟ كله حچي فاضي,Positive,Positive,gulf,0.9389,True,True
فضحتونا وشلكتونا. المنظومة الاسرية والاعدادية والثانوية والجامعية في تونس فضيحة ومصدر للانحلال الاخلاقي. النتيجة مجتمع لا وازع له ولا حدود له. انفلات للقيم والاخلاق لم تشهده تونس عبر تاريخها. مجتمعنا كبيت العنكبوت,Negative,Negative,maghrebi,0.9642,True,True
اه يا حمش تول بالك لا يتئلك عرئ، لا معلش خليهن ينفضحو وينحكي عليهم ليتربو,Positive,Negative,levantine,0.9522,False,True
الارهابي صار سيد. البلطجي صار استيذ. والفاسد صار بيك. والناس بعد لازم تعمل حالها مش شايفة!,Negative,Negative,levantine,0.9376,True,True
ما يحبوا اليمن الا الي بالخارج غير كذا نفاق,Negative,Negative,nile_basin,0.9367,True,True
ذالك ما كنا نبغي الحمد لله كي جيك الفرصة مضيعهاش,Positive,Positive,maghrebi,0.9087,True,True
متي نفتك من هالدندره . انا اقترح تعليق البورصة لحين ما نشوف تاليتها,Negative,Negative,gulf,0.9443,True,True
نائبة سادية الوش اجرام والنفس بايظة سحنة مش طبيعيه فعلا,Negative,Negative,nile_basin,0.9713,True,True
انت .طوووط وقاعد بطبل للاردن شو مصلحتك . العالم مش لاقية تشرب مي في الاردن. لحتي تسقي المحاصيل والاشجار,Negative,Negative,levantine,0.9549,True,True
لعنة الله علي الحمارات عيال ناقص رضعو من ثدي عاهرات الصهاينه لابد ما ياتي اليوم الذي تولولن وتنوحون بالبكاء يا حثالة,Negative,Negative,nile_basin,0.9778,True,True
لا يخاف علي وطن ملكهم جندي الشعب فداء الاردن والملك,Positive,Positive,levantine,0.9437,True,True
يا جماعه توكلوا علي الله وربنا هو اللي بقرر كيف يكون المطر من هسا بتتنباوا ما حدا بعلم بالغيب الا الله جل جلاله خلينا علي البركه وما في داعي للمتنبئين,Positive,Positive,levantine,0.9434,True,True
الحمدلله ما بغينا من زمان ننتظر هالقرار,Positive,Positive,gulf,0.9637,True,True
ههه ههه حكومه هاربه خارج الوطن حكومه مغتربه مع المغتربين اليمنيين حكومه فاشله وزير الداخلية ليش عاده موجود الحكومه مش ملك ابوه وعصابات اجراميه الشعب اليمني سوف ينتفض ضدها والي مزبلة التاريخ حكومة الفنادق,Negative,Negative,nile_basin,0.9714,True,True
شفيهم الكواريه ميتين ع ذا المخصي مو طبيعي بلكت اكثر من حساب ومن نفس المنطقه اهين ذوقهم,Negative,Negative,gulf,0.9679,True,True
الله لايوفقك لا انت ولا الفسايخه,Negative,Negative,gulf,0.9736,True,True
لم يناصر او يساند اي احد من هوانات تنسيقية تقدم هذه المناضلة الجسورة والمدافعة عن حقوق المراة والطفل منذ بدء الحرب في السودان. حشدت زورا تنسيقية تقدم للتدخل الدولي بذريعة حماية المدنيين وخاب مسعاهم.,Positive,Positive,nile_basin,0.7762,True,True
نقولهالك من الاخر سراق وعايشين بالحرام ويحاربو في ربي و مش بعيد يصلو مساميك في صف الاول اضف علي ذلك منتوج نتع مصنع بن ڨرينة احسن من منتوج لي خدمو بيه ببعيد,Negative,Negative,maghrebi,0.9581,True,True
منورة اية لا لا حرامات الحركة متعوب عليها مال فاشنسيتا مو مال اعلامية,Negative,Positive,levantine,0.7841,False,True
عمالين تتخانقوا وتقولوا حقوق المراة واعلام تركيا وقطر بتاع الاخوان سيطر علي عقول الشعب المصري، وانتم هنا في اعلامكم بتتكلموا في مواضيع تحرق الدم ما بيجيش من وراها الا المشاكل، انتم اعلام فاشل جاتكم ستين نيلة.,Negative,Negative,nile_basin,0.9705,True,True
يخرب بيت فلقه بزازه مش هتيجي نبل الشفايف,Negative,Negative,nile_basin,0.9647,True,True
يجبر بخاطركم زي ما جبرتوا بخاطر اختنا . ربي يكرمكم و يسعدكم ❤,Positive,Positive,levantine,0.9678,True,True
ماهو راجل وطني وهما ما يحبوش الراجل,Positive,Negative,maghrebi,0.904,False,True
هي عارفه انها هبله مش كده ؟,Negative,Negative,nile_basin,0.9661,True,True
Wow شهيتنا الفلافل ونحنا هلق الضهر ، بس ما رح فينا نروح نسطي علي شي مطعم فلافل تنفترس كم سندويش لانه اليوم محتمل تتلج الدني وما رح تشمس الدني ويا حسون منحبك تتخلص الدني,Positive,Positive,levantine,0.8582,True,True
لبنان موجود كدولة منذ مئة سنة واذا لليوم هذا لم تتكون هوية وطنية فهذا يعني انه ما رح تتكون بعمرها,Positive,Positive,levantine,0.6056,True,True
بلاد قتلت فيها النساء شن مازال نستنو منها لا حول ولا قوة الا بالله,Negative,Negative,maghrebi,0.8803,True,True
هذا سبب كل ما حدث في فلسطين من ماسي لاهلنا في غزة العزة بالله عليكم اسالوا فتح او السلطة من كان موجود في اتفاق اوسلو و برعاية من وكيف تم لعنة الله عليه و علي من خلفه,Negative,Negative,levantine,0.9453,True,True
اولا واخيرا كثر خيرك اصيلة ثانيا والاهم شنو اشوف البارح لله اليوم لا عبدالله شنو السالفة يا اية حسب السوق بسوق,Negative,Positive,levantine,0.9482,False,True
الكلام دا مش دقيق لان الست رد فعل مش فعل ف هي اترسخ فيها التفرقة دي من وهي صغيرة ولما كبرت وبقا عندها اطفال ربتهم ع كدا هل دا معناه ان ف الاصل هي السبب؟ لا,Positive,Positive,nile_basin,0.6568,True,True
هوي ي مقمل يا قنيطط انتا كنتا ماسك المصفاة ذاتو ما استفدتا منو داير تستفيد من خام انيكككام غباؤكم,Negative,Negative,nile_basin,0.965,True,True
