labels,clean_text,emoji_count,has_emoji
1,الخطوات الكل صحاح يعطيك الصحه يا ورده اما احنا جداتنا وامهاتنا ما كانوش يعملوهم في الكوشه كانو يلصقوهم في الطابونه بز الشعير يحب الطابونه الحاميه والشعير باش ما يتفتفتش يزيدوه قبصه سميد قمح او سميد عادي وفي الاخر يفتفتوه و يرشوه بالماء المغلي والزيت,0,0
1,محتوي قناه تستحق كل الاوسمه الشرفيه تحيه لكل النساء المنسيات في الجبال ولكن باذن الله حقوقهن في الجنه نساء عفيفات مناظلات بكل معني الكلمه صبورات مما زادهم جمالا لا تراه الا عين تعرف معني الجمال,0,0
0,وين راهو الجمال لي عندها الجمال قاع متطراشي حواجبها,1,1
1,بوركت كل توجيهاتك,0,0
1,ياحظ المنتدي فيكم اثنينكم,0,0
1,ماشاءالله منها للاعلي ياارب فخورين فيك الله يعوض ويفرح كل بنوته مجتهده,2,1
0,ولسا في حمار بيعطي صوته كل ما صار انتخابات,4,1
1,انا اشهد انك سيده الشعار وافضلهم,0,0
1,شتان بين الثري والثريا وهيهات ان يتساوي السفح مع القمه الله يرحمه ويغفر له ويسكنه فسيح جناته,1,1
1,سيده شجاعه بالف رجل,0,0
1,اجمل ما رايت لبس العريس في الزفه لباس القايد البطل عمر المختار,0,0
1,بنادم مركز معاها وانا غارق ف صوتها وعينيها,3,1
0,نعم اولا قحبه هذا مجلس النواب حاش الشرفاء,0,0
1,عندهم اراضي بدهم يسوقوها ما بدنا اشي جديد بس صلحو واهتمو بالموجود وكثر الله خيركو,0,0
0,خليل خوش مخلف قطع كلها منفخه ومصلخه تفرح الناظر,0,0
1,والله يابوطلال جنها صج تنادي لك يايختك استمتعت وايد بالحلقه والاحلي لما قالت لاعدم صوتك وكملها الجميل بالاغنيه كان دوتو راءع جدا,5,1
0,تبون داير بحال العجوزه لي ما تخلي ما دير لمرت ولدها فاللخر دير راسها باغيا غي الخير مسكينه,1,1
1,الله يسعد السعوديات,0,0
0,بالله متل تبع الحسكه,3,1
0,هاذي اخلاق المتصهينين انتي وامثالك وعيونكم علي الحدود لحمايه اسراءيل,0,0
1,اسالتج كلها بلحب,0,0
1,بوجودج انتي الج شكرا وتقدير بعد ربي العالمين,0,0
0,عاشت ايدكم اذا مو هيجي ماتتراجع عصابه السوداني يكون وياها عصيان مدني الجماهير اقوي من الطغاه اذا كثرت الجبايه شارفت الدوله علي النهايه,0,0
0,شبيه ميخرجوش قانون لحب قيس سعيد يعملولو طابع في جبينو,0,0
0,مايستهلوش حيث ظلمو سلامي صحافه عندهم معفنه وحقوده ماخلاوش سلامي يخدم فراحتو كل مره حقق الفوز كي دكرو مدرب القديم عدنان نكره علي انه من كون الفريق مهم الحمد لله رابي ماخيبناش فيهم وسلامي مازال يجيب الالقاب,0,0
1,الله يسهل عليهم حنا راه بلعكس فين كنشفوا دول عربيه في تطور و ازدهار راه كنفرحوا,0,0
0,انتي لي ممغوصه من الرءيس احمد الشرع مش عاجبك روحي نطحي راسك بالحيط الزلمي بعدو عم يشتغل وبعد ماحدا عطانا مصاري من الدول والنفط والغاز مبارح لرجلعونا حاجتكن مسخره انا مارح حطك علي زمتي بس وقت النظام الجحش اكيد كنتي مءيده وهلق مش عاجبك الحكم الاسلامي,0,0
1,الاردن وراها رجال يا حبيب الماما حنا بلد النشامي ربي بعالي سماه يديم علينا نعمه الامن والامان,0,0
1,بسم الله ماشاء الله عليك يا وريده ماشاءالله صحه و فرحه ربي يحفظك,3,1
1,انا كاصحراويه بنت العلوين منبت الاحرار مشرق الانوار الله الوطن الملك من طنجه العاليه الي كويره الغاليه باروح بدم نفديك يا بلدي المغرب,3,1
1,شطوره فنانه الي الامام,2,1
1,طبخ اللحمه غلط اول شي بتنطبخ اللحمه بنشال الزفر بعدها بنحط كل البهارات البصل هب الهال,0,0
0,سبحان الله حتي في مماتك ندا رحمك الله شله هبايل ومساطيل عباس وقروده,0,0
1,اتخبل,2,1
0,نقولهالك من الاخر سراق وعايشين بالحرام ويحاربو في ربي و مش بعيد يصلو مساميك في صف الاول اضف علي ذلك منتوج نتع مصنع بن ڨرينه احسن من منتوج لي خدمو بيه ببعيد,0,0
0,والطقاعه منه ومن بلده,0,0
1,ربي يرجعها لامها مسكينه قطعتلي قلبي حتا انا عند عين وحده ربي يحفظهالي,0,0
0,لا والله علي شو شو هيا انجازاتو كلها غلاء بغلاء وفساد ورشاوي ومحسوبيات,0,0
1,بعيدا عن البلد واهلها البنت يلي واقفه بجنبك تجنن حوريه هاربه من الجنه,0,0
0,هي بتجي وحده جردونه بلا اخلاق بتنتشر باسم السورييات,0,0
0,فاتي عرض عندك هبال كملتيني مقديتش حبي,0,0
1,كنعاود نقولها مره اخري الكوبل ديال اورنيل زوين بزاف كوبل هادء وعندو نضج كبير ماشي غير منسجمين مع بعضياتهم حتي الهدره ديالهم رغم بسيطه فيها نعومه العلاقه ديالهم ما فيهاش السطحيه كلشي طبيعي بينهم,0,0
0,اولاد نايل اصلا مشهورين بالضعاره و الرقص الفغنسسين,0,0
1,عادني الان اعرف انها من بلادي اتابع الشورت الفيديو حقها ومفتخره فيها والان يصادف انها يمنيه زاادني فخر والله,1,1
0,والله انه يفشل,0,0
0,وبعد الانجاز يعقد سوسو مءتمر صحفي يتهم فيه حزب الله بوضع الصخره في الطريق واجا رامبو سوسو واموين ازالوها واصابنا الذهوول,0,0
1,اللهم احفظه من الخونه والجواسيس المتربصين بالشعب التونسي,0,0
0,فاشل كالسلطه,0,0
1,ياحلونا,2,1
0,يشبهو سليكون تع روفيا ياجدك وسخ دنيا,2,1
0,مستحيل معقول اشي مفيد للمواطن,0,0
0,الله ينتقم منك يا منحطه لعنه الله والملاءكه عليك وعلي من رباكي,0,0
1,احترم الناس الموجوده في المخيمات كل يوم عم اتقدم شهداء احترم امهات الشهداء احترم الشباب الوقفه بهالبرد بس من شان حمايتك ما حقك,0,0
1,ماعليك زود وكل عام وانت بخير,1,1
0,اتقودي وتلحسي خزي,0,0
0,ياشيخ اتنيل زهقنا من الكلمتين الهبل دول,0,0
0,مصدق حاله و كانه دوله عظمي و الناس موظفين عنده غرور مو طبيعي مع غلاظه و فظاظه و سماجه,0,0
1,ااحبب مقاطعه مره مره داايم عقلي يتحاور معاه تلقاءيا الله ينفعه بعلمه,0,0
1,بومدين نهدرو عليه برك منقارنوش رواحنا معاه بعيد الحال,0,0
1,ليش لان مبادء النسويه ما بتتوافق لا مع ديننا ولا مع اعرافنا,0,0
1,الله يحمي الاردن وملكنا الغالي عل قلوبنا جميعا ويحمي جميع بلاد المسلمين,0,0
1,المشكله يلي عم يحكو ويشهرو هنن الشباب السوريين نفسن وعم يعممو الفكره علي كل بنات سوريامن ستر مسلما ستره الله يوم القيامهولو كان تصرفات بعض البنات غلط مايعني ننشرن ونفضحن انت هيك بكون عم تسيء لسمعه بلدك وبنات بلدكعم يلحقو كم لايك وكم مشاهده اخس بس,2,1
0,باين من الڨمم متاعناا,0,0
1,اعششقكمم سعودياتي,4,1
1,خطيه الله يعينهم,1,1
0,للامانه بتزعل بدل ما تكحلا عمتا مستوي الهبل عندا كتيرر مرتفع,0,0
1,تحيا عمي تبون نحبوك حنا ولادك والله ماني مستفاد لا من منحه البطاله ولا سياره ولا مسكن و قطعه ارض ،بصح الله غالب بلادي عزيزه و ريسنا اعز,1,1
0,يا تافه,0,0
0,ارتحنا منه عادي كله اهون من احل غاليه فبراير,0,0
1,الله ينصر الحق واهله الحل السياسي هو الافضل,0,0
0,شبعتونا كرنفال و مقروط,0,0
1,حمدلله الجزاءر في يد رجال تحيا الجزاءر حره مستقله برجالها ونسءها الله يرحم الشهداء,7,1
0,واش فخبارك تاتقلل من بلادك بلا ماتحس فاش تايجي براني و تتبغي تهضر بلهجتو من الغربيين و ليتو حتي مع العربي,0,0
1,تحيا بنت بلادي و لي ميبغيهاش ايموت يخبش,0,0
0,اخ كلا طراق يخلع حنكها مهو لو مد ايده بقولولك حقوق الانسان جد انقهرت يا اخي اختارو زوجات تخاف الله اتركوكم من الجمال,0,0
0,ما تغير اسمك لابو لهب او جرجس مش عيب عليك احمد و ملحد,0,0
0,انت لا صوت ولا شكل جتك نيله مش عارفه اللي بيسمعك بيسمعك ازاي,0,0
0,بس بس يا نجسه يا وسخه روحي تروشي,0,0
1,تحيه ل معالي الوزير,0,0
1,محبوبي مثلتك قمره الناس تغني عليك وقتاش نحوزك يا سمره الي تشرط نعطيك وقلب الحاسد مكوي بجمره ومن عيناه يحميك يا يا يا محبوبي محبوبي مثلتك ورده في جنينه بايات ولا شيشخانه علي فرده في معصم البنات يرجع ولفي بعد الفرقه ونحكو عالي فات يا يا يا محبوبي يحن الحنين و نتلاقا تعود السهريات عذاب الهاجر حال فراقا و رجعت ليامات العاشق ديما ينال مرادا يا للت لبنات محبوبي مثلتك شجره اذا هبت الارياح تتاكي الورقه عل الورقه واداوي الاجراح,0,0
0,انشاءالله حتي هوما يفقصو كل يوم يجو عشره يوليو خمسين في ظرف شهر,0,0
0,هو منافق وكلب ويرتزق علي حساب اهل غزه,0,0
1,لا يسقط الشجعان الا بالخيانه ولا تموت الابطال الا بالغدر الاجابه الوحيده علي الهزيمه هي الانتصار,0,0
0,ينعل وجوهكم قع,0,0
0,هاي يعملوا كل قروش التمويل زي ما داءما بيعملوا وين التمويل التركي لبناء مطار قالوا كان ها يخلص في ثلاثه سنوات مافي اي تنميه مادام الفساد موجود والفاسدين موجودين,0,0
0,كلب يبي كلبه تنبح عليه زيك,0,0
1,ما شاء الله الله يوفقهم ويزيدهم عسي ربي يجعل كل السعوديات من عز الي عز ومناصب عاليه يارب بصحه وعافيه ومن غير شر,2,1
0,والله يافخد شكله لسه طيزك عم توجعك من الاصابه وماعد تقدر تتحمل لهيك زحطوك,0,0
0,هذا المنصب نتاعو هكذا خليه الاصغاء نقل مشاكل المواطنين حسب الطرح ومنها ينقلو للجهه المختصه يعني الاداره الي فيها المشكل يجبلك غمه بخصت بثاقفتك الزايده الله يذلك ياحمار بصح الله متخرج من دشره يا بهيم ص ح,0,0
0,كان الكلام تحركوا شويه في الشوارع اقامات الثوره كلها عملت الي مايتعملشي وتوا الرجال الكلها تتفرج وتتغبن في التراكن كالنساء الي يحب يحارب علي تونس يهبط للشارع مواقع التواصل الاجتماعي كان دقان الحنك والله الواحد لازم يجند النساء علي الهبوط للشارع يكون احسن,0,0
0,ان شاء الله بحياتك ماتشوف السلام يا ناكر الجميل,0,0
1,عاشت ايدك استاذ حسين انت انسان راقي وطيب اسال الله العلي العظيم يحفظكم,0,0
0,من كثر الكذب حقك معاد استدعوك قناه الجزيره تحلل رجعت تبث من الغرفه,0,0
1,جهود مباركه كل احترام لفخامه الرءيس,0,0
1,الله يعينك يااحمد الشرع والله العظيم يعني من وين بدو يظبطها ليظبطها من الطواءف ولا من الخراب والدمار ولا الديون ولا الشعب الفقير والمعتر,0,0
0,مواصفات واحد نصاب و نسوانجي و سايكوباتي، يرغب في الحصول علي ما لا يحق له ابدا بالتلاعب النفسي و الدراما شخص نرجسي من اللي بيعتقد ان الكون بيدور حوله و الشمس تطلع من اجله هو فقط و ان نساء العالم نفسهم يتعرفوا عليه,0,0
1,لبنان الفن والثقافه والرقي ومتنسيش القمر انتي,0,0
1,ياخيتي محلاك ونشالله عليك قداه نحبك,3,1
0,تفه عليها ووع هالعاءله كلها يا عيب شوم شو طاءفيين و عنصريين,0,0
0,شكونهيليمتحضرشواشعندهاحصانههاديغيميكروبوتستحمرالمغفلين,0,0
0,لاحول ولاقوه الابالله العلي العظيم الواحد مش قادر يعبر عن الاحساس البشع اللي يحس بيه هذوم لو في عداله صح مفروض اعدام علي الملا مش مغطيين وجوههم لو كانت واقعه بس نقولوا ستر الله باقي وربي يهديهم ويصلح حالهم لكن هذه جريمه قتل شنيعه وجريمه في حق المجتمع حسبي الله ونعم الوكيل الله يلعنهم دنيا واخره حسبي الله ونعم الوكيل,1,1
1,والله انا دخلت المتحف حاجه مزهله بصراحه طول اليوم بلف في المتحف وما جبت اخره عظيمه يا بلدي,0,0
1,احب مقاطعه جدا واتابعه شرحه للكتب ممتع,0,0
0,كانت لابس الشحاطه بس اجتك هالافكار؟,0,0
0,طيب اطلع عشارع وطالب برجوع الاسد الي كان داعس عليكم والي زي اشكالك شكلهم بدهم حدا يضل داعس عليهم بصرمايه افضل,0,0
0,الرقاص,0,0
0,ركيك يابنت لقحب,0,0
1,حضرتك مذيعه جميله ومهنيه ومءدبه في تعاملك مع الضيف ومستمعه جيده بارك الله فيكي,0,0
1,ياروحي رزقج بالزوج الصالح عمري,0,0
1,نحن مع الدعم السريع او تبقي شخص واحد فقط جيش واحد شعب واحد وطن واحد لا للخونه,0,0
0,كاين شي مافيا قدك المهبول,2,1
1,مناظر ولا اروع منها شكرا لك علي هكذا منشور,1,1
1,اهلا وسهلا فيكي ب لبنان وشكرا عالزياره وعالفيديو الجميل وهيك بتشجعي اللي بيخاف يزور لبنان فيديو جميل كلو طاقه ايجابيه واماكن راءعه شكرا لءلءه متابعه من لبنان,0,0
0,كله استعراضات ونفاق فليفعلو شيء لكل لبنان ينفع اللبنانيين ويكفي عهر,0,0
1,بصح علاش زدت كلمه نقيهووعلاش الحقد لي كاين بين بنات وولاد بلادنا,0,0
0,القضاء وياهم وبالدليل كاعد يلعبون بكيفهم,0,0
1,ماهو راجل وطني وهما ما يحبوش الراجل,0,0
1,حفظك الله ورعاك,1,1
0,هءلاء الاوباش والخونه لايريدون الاسفرار للشعب السوداني وهذا من ضمن مشروع التفكيك لصالح دويله الخمارات وابو نجمه,0,0
0,الطريقه الصح انك تخرسي وتسدي بوزك شو دخلك فيها,0,0
0,محدش جايبنا ورا غير الفلاحين,0,0
1,شكرا علي وطنيتك وعلي تواضعك وكلنا ورا فخامه الرءيس,2,1
0,ياخي هوما شكون جابهم وسمحلهم بالدخول وفتح الحدود العربيه علي مصراعيها؟ وشكون مسهللهم العيشه وتجاوز القانون في تونس؟ وشكون عطاهم مكتسبات وحقوق التوانسه نفسهم ما عندهمش منهم؟ واخيرا كلمه وحده وامر وحيد من رءيس المهوريه تو كلهم يكونو في بلدانهم في ظرف شهر اما ما نعرفش علاش الرءيس يغزر وساكت، زعما عاجبو الحال؟,0,0
0,ترحيل لافارقه من بلادنا مطلب شعبي بلادهم تتحمل المسءليه متاحم موش تونس خطر داهم علي بلادنا ولا حيا لمن تنادي سيبوبهم لبحر يمشاو الطاليا وفرنسا الي كلاتلهم ثرواتهم,0,0
0,علي اساس انتي شارون ستون زين قبل بيج سعلوه,0,0
1,يا سياده الرءيس فيق الله يرحم والديكحط في هالمكان هذا جنرال واعطيه صلحياته سينهي الامور باسرع وقت,0,0
0,هاي حكومه طاغيه وما بهمها غير حالها,0,0
0,الامير مشعل وفهد اليوسف حولو دوله الكويت لا قريه الكوت,0,0
0,بحالك ماعندهم عقل و لي تبعك ما عندو عقل واش الزبل جاي كايتبورض عليك فبلادك و مني تقول اح و تغوت تولي باغي تدير الفتنه و هي نخرجو حنايا من هاد الارض و نخليوهالهم باش يعجبك الحال يمشيو يقودو و سير تا نتا معاهم مشيا بلا رجعا,0,0
0,اذاك احسن حل عملوه يعطيهم الصحه و هوما كل مره جايين لتونس ناقصين مشاكل احني يرجعو منين جاو,0,0
0,لعنك الله انت والسيسي تبعك وكل من تبعك,0,0
0,وهم يودو اليمين الا ان رشاد يري الخيانه في عيونهم,0,0
1,ياريت كاع بناتنا بحالك افتخر بك كمغربيه متال نعم التربيه والاخلاق,1,1
1,تحيا الرجال وبلاد الرجال بكري ودرك,0,0
1,يحيا قيس سعيد وتونس العزيزه ولا رجوع الي الوراء والمحاسبه ولاغير الا المحاسبه وخاصه القياده والنقابات ومطلب شعبي ولاتدخل الاجنبي وتونس حره ذات سياده وقاهر الخونه والفاسدين والناهبين والارهابين,0,0
0,شنو هاذا من حجاب هاذا استهزاء بالدين علمود الامام تلبس الحجاب تطيع امر الامام ولاتطيع امر الله سبحانه وتعالي عما يشركون,0,0
1,السعوديه فوق هامات السحب اذا بغت شي ماحد يحدها,3,1
1,فيديو زوين عفوي ان شاء الله المزيد من التالق ونشوفو فيديوهات واعرين انا عندي عتاب واحد بغينا الترجمه المره الجايه شو بيقول علي,0,0
0,امك الكذابه يابن الهنديه,0,0
0,انعل ابو ايران لابو سوريا,0,0
1,والله ما مهبلا الا الليبيين الي خانوه وضيعوا بلادهم وخلوها مصك احصنه,0,0
1,منظر يشرح الخاطر نعم هءلاء بنات بلدي دين وحشمه وعلم وحضاره ومن حقنا ان نعتز ونفخر بهن,0,0
0,ما شفنا تخوين لما سوتها الامارات ما بقي كلب ما تكلك,0,0
0,حتي واحد ما قالك وري غير انت بغيتي تعري علينا و خلاص,0,0
0,انتي مشي مراء انتي ذري و هو مسكين راه ديرلك القيما و جاء قلك سرو افهمي هذا سري بين زوجين و انتي مرحتيش له و دار فيك ثيق بهدلتي بيه حشمي بطلي و بلعي و خليه فستر,0,0
1,يءبرني المهضووم,2,1
1,عسسل دايما و حضورك و قبولك جميل و مميز لقب فنان حقيقي و حب الناس من عند الله قبولك جميل,6,1
0,كاذب ومنافق,0,0
1,يا رجل هيك اخبار تنشروها والله انه عيب وين العقل و الفكر في هيك مواضيع عيب فعلا اي نعم ما في اي تربايه عند بعض البنات بس كمان في ناس مش هيك,0,0
0,كل مانخرجو مانلقاوش شنطي كبير يخدمو خمسه من ناس من معريفتهم وقا يسقدو فيه وزاد كان يفتحو تحقيق تلقاهم مقاولات نساء من خوتاتهم وزوجاتهم قاعدين في دار راقدين ويمونجو وتستني في الفاتوره نتاع ملاير تدخلها والمشروع مسيب ومهمل ومغشوش ومخدوم خدمه نص نتاع خمسه بالميه نص شارع يخدموه والشعب يخلص الطرق مكسره الغرق بالوحل الخساءر اليوميه علي السيارات عند الميكانيكي بسبب الطرقات المهترءه وراه ماشي الفساد والمواطن يخلص,0,0
1,عرس جميل الله يبارك لهم وعادات وتقاليد عرب اجواد و كرام ونعم بالمقارحه وكل قباءل ليبيا الكرام اخوكم من قباءل مارب اليمن,0,0
0,هه كل زق يا زلمه,0,0
0,زرق جريدتك,0,0
1,ونعم باالله القوي المتين ويمكرون ويمكر الله والله خير الماكرين,0,0
1,مافي غيرها يستحق يكون الاول بكل شي بتستاهل,5,1
0,الشعب نايم اكعد ياشعب اكعد اكعد اكعد اشتاني بعدك نايم يمته تكعد وتصحه اكعد ولك راح يخلوك تجدي اكعد يلملط اكعد اكعد يسكران كافي نوم اككععد,0,0
1,الشعب يريد حكومه بدون محاصصه حزبيه كفا عبث من قبل الاحزاب الناس تريد حياه كريمه,0,0
1,ربي يرحمو راجل نزيه حتي ولو عندو غلطات ناس الكل تغلط لكن هو ماسرقش مخلاش دار ماخلاش دراهم ومات الشعب الجزايري بكاه,0,0
1,اللي يقدر ع اي لاجء مهما كان كبير صغير راجل ست يهينه ويطلع ميتين امه ويسففه التراب اوعي يتردد ولا يصعب عليك اللي يصعب عليك يفقرك,0,0
1,ماشاء الله تبارك الخلاق العظيم,0,0
1,ارجو منك ان تكمل خطابك كامل تحت قبه البرلمان لنهو كلام كل موطن حر ولكم جزيل الشكر والتقدير والاحترام,0,0
1,الله يبارك راه العالم يشوف كيف الافرقه يحترمون عمي طبوون,0,0
0,يفضح عرض الاثنين دمرو الشعب,0,0
0,اخرسي يا لقيطه,0,0
0,يا حيوان احنا لدنا خضر جوي علي العديان اضرب دوره كامله باش تلحق لتونس برك,0,0
1,الله يرجع لبنان زي ما كانت,0,0
1,الله يبارك ورده و هازه ورده ربي يحفظك عيشك,1,1
0,ناس وسخين بالفطره,0,0
