text,dialect_label,region_label,sentiment_label
الله لا يرحمج لا دنيا ولا الاخرة يا *** جانج مستهترة بارواح الاخرين س***,6,2,0.0
اخر امل لبقاء لبنان هو هذه ال 6 سنوات سياسة ارضاء الجميع يعني خسارة الجميع ولبنان ستنا تحية املنا كبير بكم,7,0,1.0
كل التوفيق لكممشروع نوعي,5,0,1.0
والله ما خرب بيتنا الا حق المراة والحريات,5,0,0.0
والله محد يضرر غير المواطن الفقير قابل التاجر الله شاهد ورقيب هو قبل ما يرفعون عليهم الضرائب هم يرفعون باسعار المواد في الاسواق علي الفقير,4,0,0.0
الله الوطن الملك ديما المغرب,9,1,1.0
عندك علم بعد تمشي السوق انت وعيلة ومرتك ماشيه قدامك وانت دف في كروسه اني وراه نكحل ونتفرج علي تنتها وهيا تهز ونتخايل فيك تعلم اني هايج علي مرتك حتي كانك ماتحب تحرر نخليك تحبه اغلبكم ماجرب جنس هذا لكن فيه كمية متعه ولذه ممكن عمركم ماجربتوها واغلبكم مل بعد جواز من نفس روتين تحرر يكسر في حاجز اللي بينك وبين مرتك ويخلي في متعه فيها رهبه ولذه,8,1,0.0
توكل كرمان بنتسوق بنتشرموطه بنتقحبه سبب دمار اليمن هيا قبح الله وجهها,17,3,0.0
بديهي نمر بفترات مملوؤة بالسخافة والمياعة والبياخة والوقاحة بس ماكنت متوقع تكون السخافة والتفاهة والسفالة والبياخة والمياعة والندالة والحقارة لهالدرجة تخطت كل الحدود وتجاوزت كل المعايير وبحالة لم تشهدها تاريخ البشرية,15,0,0.0
فتان محترم وشعب الاردن شعب محترم والدين المسيحي دين رائع. بس خفة دمه وجاذبية شخصيته لا يعلي عليها ♥️❤️,5,0,1.0
طيب ما يحافظوا علي ده بدل ما يتجبروا و يتبطروا علي النعمة,2,3,0.0
يعني همه يغلطون عليه عادي بس هو لا والله لواني من هذا الظابط اشبعهم نعل,4,0,0.0
المجد والخلود لشهدائنا الابرار تحيا الجزائر,0,1,1.0
يا اخواتي طولو بالكم وان شاءالله الامور ترجع افضل من الاول احنا شعب واحد واخوات وحبايب وانتم في بلدكم مصر,15,0,1.0
ونعم وسبعة انعام بكم وبقوانينكم,13,2,1.0
ضربني وبكي سبقني واشتكي والي بدق الباب راح يسمع الجواب تحية لابطال الحرس الوطني لا تقصروا فيهم الله يحمييكم,15,0,1.0
صرحة كتعجبني علاقتكم كتجيني اقرب الي الحقيقة عكس الاخرين كتجيني علاقتهم مصطنعة وصرحة حتي علي كيبان حقيقي وضريف ومتوضع كيدخل القلب وكيبان صديق حقيقي ماشي استغلالي,9,1,1.0
مستعد يلحس كنادر و صرامي كل العالم ليرجعوه,6,2,0.0
ولله فلسطين دي جدعة وربنا ينصرهم يا رب العالمين,11,0,1.0
شو هالكلام الحلو عن جد صح خليلي ياكن,15,0,1.0
فعلا مستفزه وسخيفه جدا جنون الترند وصل لمرحله لا تطاق وطلع جنون العالم,2,3,0.0
الحمد لله علي سلامتك .الله يحميكي,7,0,1.0
درر والله اللهم بارك اتعلمين احب في بلادي امثالك اللاتي يعرفن معني السودان و يتمسكن بالسودانية ربي يوفقك,14,3,1.0
واش كيحسابكم هدي اسبانيا راه كراغلة عالم اخر ماكيعرفو قانون دولي عصابة تحكم شعب,9,1,0.0
. الرجل الحر بعرف يختار لنفسه زوجه بنت اصل ومن بيت فيه رجال . صاحبت اخلاق ودين.,5,0,1.0
الله لا فتح عليش ضيعتي اليمن كله,17,3,0.0
تبون لمافيا والله -؟ سراق ديكتاتور واش يجو في بلاد حاكمينها الحمرة الي كيما نتا و سعيود و شنڨريحة يا تبون الباطار الشعب راهو جيعان,0,1,0.0
والله لوعو جبدونا هالدرجات ماخلو لنا موقف و بعضهم مثل ما انت شايف ينطر علي الدراجة و ماسك جواله ينطر حد يطلب ، مفروض يكون عليهم تشديد !,12,2,0.0
الكلاب احسن,8,1,0.0
الشعب يريد قيادته الوطنية! شخص صادق، يعمل لخدمة الناس، يقود مكافحة الفساد، ويفعل الرقابة والمحاسبة. ينفذ الاصلاحات الاقتصادية والخدمية والامنية علي ارض الواقع. منذ 2015، هذا ما نفتقده. والشعب ينتظر القيادة المسؤولة الحقيقية!,17,3,1.0
ما شاء الله عليه والله كل التواضع فيه,13,2,1.0
تي روح يا وهمي معرعر انتا وياها مدحنس الله يلعنك خزي عليك,8,1,0.0
لاتعمللي فيها عاطفي وتحكي بتقسيم البلاد ، الاكراد طالبين حقوقهم علي ارضهم وهذا حق لنا اسم ع مسمي فعلا انك كمخ وتافه,15,0,0.0
الف رحمه ونور علي روحه حرر نفط العراق طرد شركات الاحتكار فغضب الانكليز ودبروا المومرات لقتله وجاءوا بخدامهم من البعثين والقومين لا نهم خاضعين لهم وقتلوا من احب العراقين بكل طوائفهم وهذا ديددن المحتل يقتل الاوفياء الشرفاء,4,0,1.0
ماظل غير حفنة خونة ربع الشخيخ الاجري شواربهم متل شوارب لكلاب,15,0,0.0
مليح الواحد كي يعترف بالخطا تاعو برافو عمورة مليح الواحد كي يعترف بالخطا تاعو برافو عمورة,0,1,1.0
عاهرة تتكلم,11,0,0.0
نعم زي الكلب صاحب المنشور يبيها تشخله حتي في فمه,8,1,0.0
دي يارا عزمي ممثلة ودمها خفيف اوي,2,3,1.0
لازمك فحص رجوله يا شيخ السلاطين,11,0,0.0
تفو عليك يا خانزة لكان جيتي مراة تعاوني والديك مشي تحشمي بيهم الله لا يربحك,0,1,0.0
نحفااانة برافو عليكي,11,0,1.0
الزول دا شويه كدا وكان بسهل للناس ديل,14,3,1.0
والله انك لجهنم كل تحليلك كذب,17,3,0.0
واضح هالخنزبرة و ياخور لسا ع يتقاضوا رواتب و دعم من ماهر القرد لذلك اذا اتوا لسوريا يجب التعامل معهم بتهم تحريض و التحقيق معاهم,15,0,0.0
مسكين ي طعمية بيجي للاهلي السعودي الاهلي الكبير مو ناديكم الوضيع,13,2,0.0
سلم والله الي تجيبلك في الريح انتا نهايتك مطيحتك عاهره في اول كمين خلي بالك من لاغليغك,8,1,0.0
الله يرحمك يابطل يابن مصر يامخلص .رمز من رموز مصر رغم انف الحاقدين .,2,3,1.0
انت صهيونية حساب وهمي تفو عليكو,16,1,0.0
لها كل الاحترام والتقدير,7,0,1.0
نحنا مواليد الثوررر كلنا هضامة,15,0,1.0
اه لو يسمع شنقريحة هذا الكلام وما يهديهش ربي يمسح المغرب مسح في ساعتين .دون ان تروا عسكري واحد قريب من الحدود ربي يهديكم ما تملك الجزائر ليس لضرب المغرب وما الفائدة من ذلك,9,1,0.0
الكلب ينبح والجمل ماشي,14,3,0.0
اللباس المغربي حاضر بقوة الغندورة الخضرا و قفطان الجدة الاخير ،,16,1,1.0
اللهہ يبارگگ فيي هہالاشخاص هہاديي وانشاء اللهہ تبدا ليبيا من اگتر الدوول تقافهہ وعلم,8,1,1.0
ربنا يقضي عليك يا يقضي علينا احنا يا اخي ونرتاح منك,2,3,0.0
ان شاء الله يكون خير وكل اللي عايزينه ان بلدنا تكون احسن بلد في الدنيا ويبعد عنها كل شر يارب العالميين,2,3,1.0
حطها ف طيز الذكاء الصناعي وهو اللي مسويه وكاتب النص,13,2,0.0
بس ع الهوية مسلمة,11,0,0.0
قول للحرامي احلف ومن يشهد للعروسة يا معرصة,7,0,0.0
اختلاف ثقافات. .ويجب احترامها. .حتي ان لم نوافق عليها,14,3,1.0
حنا لبعضياتنا الله يحفظ بلادنا وملكنا وشعبنا ❤️,9,1,1.0
ياجمالك وروعة حرفك يسعدقلبك,17,3,1.0
مااجملها تونس,16,1,1.0
شيخ علي ربي يحفظو ويطول في عمرو,0,1,1.0
ست نعمت انشالله انت والرئيس جوزيف عون تكونوا نعمة علي هالوطن وما تقتصر الولاية علي ابيات شعرية وكلام جميل المرحلة بدا شغل ومواقف وبالتوفيق انشالله,7,0,1.0
شحال مكروه,9,1,0.0
ايه البهائم دي. . يا زفت مش عايزين نسمعك ولا نشوف وشك . وماشرفناش انك تكون مصري,2,3,0.0
بلد عظيم ينحدر عنه السيل ولا يرقي اليه الطير سموا ومجدا وكرما، وهي ذخر امتها العربية والاسلامية. زادها الله في العالمين جلالة، وفي الاعين مهابة، وفي القلوب محبة❤️ الشكر اجزله والثناء اوفره لمملكة الخير قيادة وشعبا، وحفظها الله عزيزة منيعة،,14,3,1.0
علي اساس كنا مرتاحين في ايام ظاغي والضي كان يهرب اكثر من هكي والجوع والفقر والجهل تفكير جهل,8,1,0.0
والله صدق الله يسعده وين ماراح,13,2,1.0
اية اية لا تذلي الولد علي مود محتاج انطيه وخله يتيسر علي رزقه اه شبيج ما دا تركزين بل الفديو لمن تنزلينه وتصورينه ساعة تنطيه ساعة ترجعه اه لا ومن متابعيني بعد يعني تمننيه انا نفسي افهم كيف تخرجتي اعلامية بس قناة هنا العراق و الله لو تلقي بنية زينة وقوية ما خلتج فسخت العقد وياج وكالتلج يلا مع السلامه تاكدي والله مايصير هيجي سوالف يا اية اه,4,0,0.0
هلا وغلا فيكي منوره تعالي خاص,17,3,1.0
امك الي تنبح قافلة الصهينة و العمالة و الخيانة نعم تسير في البهارات بقيادة ابن الكلب شيطان العرب تف علبه و علي النعاشة الي جابته و علي الحمير الي راكب عليهم,13,2,0.0
وش هالقرف من هالحثثاله الرحيلي,13,2,0.0
دا مقترح للمبني ركاب في ميناء كوستي و كان عبارة رحلات نيليه من كوستي الا الرنك كان اشتغلنا علي المشروع في السنه الرابعه في كلية العمارة و التخطيط جامعة ام درمان الاسلاميه و دا منشور في صور للتصميم المقترح كلام جميل دي الرؤي المفترض الناس تنتبه ليها لتعمير البلد الفتره الجايه دي,14,3,1.0
الحسن الثاني جدنا وابونا حنا المغاربة الله يرحمو ويجعلو من اهل الجنة لا يقارن مع من كان عاش الملك وعاش الشعب المغربي,9,1,1.0
هدا من الجزائر ولاية وهران من حي اللوز تحياتي ليه,0,1,1.0
حنا الشعب نحبو لبلاد تسڨم ماقولنالهمش اعطونا انا حبيت نشوف بلادي اعلي قمة البلدان,0,1,1.0
علاه كاين شي وزير بحال اليوسفي للي تقدر تحاور معاه,9,1,1.0
معا احترامي لي جميع نساء العالم,5,0,1.0
هما موافقات وبرضاهن,14,3,1.0
خويا اش غادي تدير مجتمع متخلف و عقلية مصدية و متعفنة واخا قراو ف المدرسة بنادم الله ينجينا او ينجيك ما كيستخدمش العقل ديالو كيفكر بعقليةجدود جدودو واخا راهم كانو غالطين و العلم تقدم و فسر سلوكات الانسان عن تجارب علمية هادو ما عندهم ما يديرو بالعلم لان التمييز وعلو مكانة الذكور علي الاناث عاجباهم وف مصلحتهم,9,1,0.0
♥️♥️♥️ ونحنا نموتو علي دزاير,16,1,1.0
انت مناةو فينا ام فهد .نحبوك,16,1,1.0
كابوس عايش وميت لكم الان عرفتو منهم الصهاينة ومن يدعمهم,17,3,0.0
انت بخیر ماذا تفعل ما اخبارکء اشقت للکء ایه حبی انا❤️❤️❤️❤️❤️,4,0,1.0
هزا المخترح ممتاذ كفيتي ووفيتي دكتوره البلد محتاجه تفكير خارج الصدوق لاتفكير رغبوي كلام في قمه الالق,14,3,1.0
رحمه الله كان سندي الذي فارقني دون وداع وبعدها اخي سندي بعده كذلك فارقني دون وداع رحمهم الله برحمته الواسعة يارب,11,0,1.0
ربي يخفف عليهم صعيبة صح مايحسها غير لي فات عليها,0,1,1.0
عوي عوي عوي - قهرك يطربنا,2,3,0.0
يارا عزمي عسل,2,3,1.0
جوابه ممتاز يدل عل فهم وثقافة واخلاق عالية اصلا الاستاذ نبيل روحه حلوة ومتصالح مع نفسه,5,0,1.0
عاش فخامه الرئيس عبد الفتاح السيسي زعيم الشرق الاوسط ربنا يحفظك,2,3,1.0
راها كرغلية بغات تفوت لينا الميساج ديال رانا منحبوكمش يا المغاربة نحبو غير قفطانكم وطواجنكم وصالوناتكم وتراتكم باختصار نحبو كل ما هو مغربي الا المغاربة فهم تسطي مع شعب اين ابي ومن هو جدي وشكون حنا تحبكم حبة ان شاء الله يا المساخيط,9,1,0.0
شكبرة بگد البغل وهيجي يصرف الاعوج يبقي اعوج لو تنطي كنوز الدنيا ماسح اخلاقة بخراه,4,0,0.0
يا قواد يا ابن الكلب يا وسخ حزب الله طرد اسرائيل سنة 2000 وكسرها 2006 قطع داعش بالقلمون ولحد اليوم بيضرب الجليل صواريخ مطر لو فكرت تطلع براسها روح الحس تراب جزمتو يا متخوزق ريحة طيزك واصلة تل ابيب يا ابن ال700 ليرة ياكلب يا خولات يا حمير,7,0,0.0
شكرا لكم اتمني تخلصوا علي الفساد اللي في الدوله وتخلصوا علي تجاره المخدرات,2,3,1.0
طيرها لفريد ربي اطول في عمرو,0,1,1.0
و نسال الله تعالي ان يرزقنا قيادة وطنية ناصحه تقود البلاد نحو الاستقرار و السلام و العداله و التنمية,14,3,1.0
اخرس يامشرد,13,2,0.0
الله يسهل عليهم حنا راه بلعكس فين كنشفوا دول عربية في تطور و ازدهار راه كنفرحوا,0,1,1.0
اذا كان هذا فعل اشخاص ساذجين وربما غير مسلمين ،ما دخل الاسلام فيه،طيب انته فيك شي او احد اغتصبك لما كنت طفل او انه احد جبرك علي الاسلام ،خبرنا عشان نفهم العقلية الخرا في راسك الملتوي .,14,3,0.0
المحبة والاحترام متبادلين ولبنان دايما بينور بوجودكم,7,0,1.0
وشحاري مبسوطة فيها كمان,15,0,0.0
لا اريد زيارة هذا البلد في الكثير من البلطجية الغير محترمين و الغير مؤدبين حتي الشرطة ديكتاتورية و نشالين,2,3,0.0
ماشاء الله علا الشبل هذا بطل,17,3,1.0
انت مال امك يا اخي احنا راضيين وعاجبني انت راجل ابن وسخه,2,3,0.0
انتي الي تتكلم تعرفيها من هي وبنت منو اتقي الله راهوا الدنيا دوار وحاتلقيه في نفسك اول شي وصغارك وخواتك,8,1,1.0
تحيا عمي تبون نحبوك حنا ولادك والله ماني مستفاد لا من منحة البطالة ولا سيارة ولا مسكن و قطعة ارض ،بصح الله غالب بلادي عزيزة و ريسنا اعز,0,1,1.0
نوضي تگعدي الالة راكي جامعة الملاير باش تقري وتعيشي ولفتي لفلوس تتصب علك,9,1,0.0
خلي هالبقر تفهم,15,0,0.0
المطلوب حاليا تسلم كل المعدات الثقيلة والخفيفة والعتاد من كل المسلحين الخارجين عن الدولة السورية,15,0,1.0
الله يخزيك في منظرك,11,0,0.0
الله يعطيك الف عافيه عمل جماعي مميز,5,0,1.0
قرف يقرف هيك مجلس نصهم نجح بالمصاري والنص الثاني تعيين مش غريب تكون هاي مخرجاته,5,0,0.0
يا سيادة الرئيس فيق الله يرحم والديكحط في هالمكان هذا جنرال .واعطيه صلحياته . سينهي الامور باسرع وقت,16,1,1.0
هاد سيد رئيس حكومة حقيقي دبر ازمة كوفيد,9,1,1.0
والله افتك من شعب منافق وساذج وكذاب وما عنده مبدا,8,1,0.0
الرجال قوامون علي النساء هو مسؤول عن المهر والنفقه والمسكن والملبس والكسوه,5,0,1.0
الله يسهل عليهم ويقويهم ويرجعوا بالسلامة . اظن بالسنوات القادمة راح يطلع جيل زلم بتصرفاته واعتماده علي حاله . جيل راح يغير فكرة الفساد الاداري بانضباطه والتزامه واداء واجبه بكافة المواقع سواء خاص او عام . حجر اساس لبناء انسان نزيه مخلص نشيط . سواء كان موظف / تاجر / دكتور / محامي .الخ من فئات المجتمع,5,0,1.0
يعني عشان انت ضاع شبابك اتضيع بلاد بحالها,8,1,0.0
عمي برميل عادي وقالبين ثلج كله ما يكلف 20 الف دينار عراقي يعني 13 دولار فقطق,4,0,1.0
راه دوك لي كيدعموها هوما لي خصهم الحبس,9,1,0.0
كيف فحسه بدون حلبه ما ينفع,17,3,1.0
ياعمري عليه ماشاءالله هاذي احلا تربيه,4,0,1.0
راه حنا موالفين كانعاونو الناس فما بالك راسنا الحمد لله مامحتاجين حد حنا يد وحدة ❤️ ❤️,9,1,1.0
ياخي الله يسعدك يا ذو الكفل انت والشباب اقسم بالله فخررر وعززز الله يعزكم دنيا واخره,14,3,1.0
بدنا العلم يرتفع بكل المدينة وتنشال باقي الاعلام غير هيك خرطي,15,0,1.0
ياخي ياحليل السودان دي احلا شي في السودانييين ❤❤❤ ✨✨ فظعين لكن ياخي معاناة شديدة مع الكهرباء دي بردتوا لينا قلبنا يخ شكرا ليكم,14,3,1.0
يارجال علي زق ازعجت ام امنا يا افدغ مانبحت الا الحين,7,0,0.0
الله يصلح حال اليمينين ويحفظ اليمن,17,3,1.0
تووونس زينة البلدانتحيا بلادي و يحيا شعب الخضراء العظيم,16,1,1.0
نصيحتي لك ياريس تساعد علي محو الاسلام الفاسد من اركان مصر العزيزة,2,3,0.0
مشية بلا رجعة الله لا عاد يرجعهم .تحيا تونس,16,1,0.0
وادي الذئاب الجزء الاول ع قناة 1 بغداد شوكت اعاده,4,0,1.0
لعنها الله كافرة مرتدة,11,0,0.0
كفووو افضل قرار,13,2,1.0
خطوة حلوة في تنظيم سوق العمل كثير ناس كانوا محتاجين هذا التعديل من زمان,13,2,1.0
هادي مالمت شعرها الي رايح زي بالة التبن جايه تقارن خزي .,8,1,0.0
بالجودة بيك بين هلك وناسك وتحيه ليك من قبيلة اولاد سليمان,8,1,1.0
مافيش قسم وين القسم لعنة الله عليكم خونه بعد خونه,17,3,0.0
انتي كلشي بتحليه وكلشي حلو عليكي,11,0,1.0
سلام هيام انا كنحماق عليك باش تعرفي واحد لحاجة فكل ليف كنبقا سارحة فجاملك❤❤❤,9,1,1.0
ياد يا ابن الكلب ياخاين يامعرص يافاشل ياثرثري انت ما امك,2,3,0.0
الي في التعليقات فعلا ناس تافهين,11,0,0.0
هاي وين جانو,4,0,1.0
لحمها مكردغ كايبان من هنا مايطيب فلكوكوط هااد تريكت الصحاري و الخلاء رااه كايطلعو علاام خروي,9,1,0.0
تعمقت الوحده اليمنيه❤,17,3,1.0
نجيها يا ربي تهبل مش عادية,8,1,1.0
عتقو ربها لهل الناس سرقااات ونهب بحجة شي تاني,15,0,0.0
حكومة كفائه,17,3,1.0
المراة في الاسلام اخذت حقوقها كاملة والحمد لله رب العالمين,5,0,1.0
معقول البشر ماعاد يهمها غير المصاري انو ماشافت حالا ما استحت عكبرتها ياربي دخيلك .,15,0,1.0
كلاوجيه كولهم,4,0,0.0
اجراء يعزز الشفافية ويقلل الروتين ويدعم الاصلاح الاداري ضمن مسار التحول الرقمي,4,0,1.0
تبارك الرحمن منورة ياريحة الغوالي,8,1,1.0
هي وسخة وتستاهل,4,0,0.0
