Comment,dialect,platform,Category,label
موكبنه هاي ولاء كل سنه ويانه فقيره ونضيفه وتخدم توزع ربي يحفظها ❤️,Iraq,INS,Women social,P
خطيه حبيبتي الله يعطيها عل قد نيتها,Iraq,INS,Women social,P
عفية عليج اية ما كسرتي بيها و حلو عليج الحجاب ياريت تبقين بي,Iraq,INS,Women social,P
فدوه هذوله شكد گلبهم صاااااافي وكل حقد ماعدهم ياريت كلنا مثلهم ومثل نيتهم وتفكيرهم ❤️,Iraq,INS,Women social,P
الله يهديج وتتحجبين الحجاب عليج حلو,Iraq,INS,Women social,P
اموت عليج أنا 😍❤️,Iraq,INS,Women social,P
والله الحجاب عليج ايخبل ايجنننن فد شي والله احلة من ما انتي بلا حجاب اصلن شكل ثاني اطلعين والله,Iraq,INS,Women social,P
دكتوره أنتي أسلوبج يخبل أصلا ❤️,Iraq,INS,Women social,P
لج عيني دكتوره صايره حلوه كاسرتنه احنه الجيل الأصغر منج كل يوم داتزيد حلاوتج😍مدري لأنه اح😍بج,Iraq,INS,Women social,P
حفظج الله تعالى وبارك بيج...تستاهلين الخير كله,Iraq,INS,Women social,P
ما اعرف شلون راح نروح من الكلية وما نشوف هل وجة الحسن بعد 😔🫂🫂,Iraq,INS,Women social,P
اليجي من ايدة الله ايزيدة كون كلة الأهل هيج اسوي جان محد ازوج وحق الحسين مرات الأهل ايشوفون الرجال مو كد المسؤلية ومسربت توكف ضدة,Iraq,INS,Women social,P
طبك طوب لطلطه تزوجت الثانيه ديلا خلي تفيدك لعد,Iraq,INS,Women social,P
ان شاء الله الزوج الصالحه الحضرتچ,Iraq,INS,Women social,P
احسن والله مسؤليه اطفال وحلو رائيج,Iraq,INS,Women social,P
ولله زنوب اخذي نصيحتي ضلي بحريتج ولقرئن احسلج,Iraq,INS,Women social,P
استغفر الله العظيم جتي حجاية بلساني وسكتتت نعلالا روحج ام حيدر عندج هيج نعمه وممقدرتها ماتدري اكو نسوان بهل الوكت ماخذات مكان الزلمة بمسؤليات البيت والأولاد والمدارس والمصاريف نعلالا روحج اي والله امشي وانعل ييج😢,Iraq,INS,Women social,P
حلـِۈۋ‏وھّ وعلي •اللّـہ̣̥ يخليها ❤️❤️,Iraq,INS,Women social,P
واخيرا بنية مؤدبة ✅️🤝,Iraq,INS,Women social,P
اشكد حلوة وحبابها بحيث تكلها لا لا عيب عيب,Iraq,INS,Women social,P
عززههه لعد شكد مودبه من كالت عيب❤️,Iraq,INS,Women social,P
فدوا❤️❤️,Iraq,INS,Women social,P
ويه بل مدرسة كيوتت😍,Iraq,INS,Women social,P
ربي يوفقج 🔥,Iraq,INS,Women social,P
والله عفيه عليج عبالي ما تسوين خير طلعتي احسن من اهواي ناسسس,Iraq,INS,Women social,P
والله انت شريفه ❤️ بارك الله فيكم,Iraq,INS,Women social,P
الله يوفقج ويستر عليج حبيبتي الله يوفقج على فعل الخير ❤️❤️,Iraq,INS,Women social,P
بوجودج أنتي الج شكرا وتقدير بعد ربي العالمين,Iraq,INS,Women social,P
كفو والله ❤️ احبجج ايه❤️,Iraq,INS,Women social,P
الله يرزقك بحق فاطمة الزهراء الله يحمهم بحق فاطمة الزهراء,Iraq,INS,Women social,P
طرح الموضوع بهذه الرقي والوعي يدل على خبرتچ وحرصچ على التوعية، بالتوفيق دكتورة 🌸🤎✨,Iraq,INS,Women social,P
الاستخفاف ع اصولهة,Iraq,X,Women social,N
صاحبه البيج ممكن اخذج جارية او خدامة لمرتي المستقبليه! ؟,Iraq,X,Women social,N
النسويات زبالة,Iraq,X,Women social,N
هالبنية قليلة أدب,Iraq,X,Women social,N
الرجال اللي يدافعون عنها خرا.,Iraq,X,Women social,N
هي وسخة وتستاهل,Iraq,X,Women social,N
ها الجلحه😂 لا جفص خطيه😂😂😂💔,Iraq,INS,Women social,N
ماكو شضايه تايهه وتحمسك وجهك مصخم,Iraq,INS,Women social,N
زمن العواااهر والبرااابيك,Iraq,INS,Women social,N
هاي المقدمة دوشك شنو وجايبه هاي الرعنة,Iraq,INS,Women social,N
قلبي یحترق من اُجللکء غیر مخلص تحدث,Iraq,INS,Women social,N
ها هاتوا نشوف آية شو مخبية النا 🤔لا لا يا آية هيجي ما تفقنا آه الغناي مال قمر الزمان حلوة بس ما تلوقلج تساليني ليش اجاوبج هاي الغناي مآل وأحد يحب ورايح طلابة أما أنتي على شنو إذا زواج او خطوبه تأكدي أول وأحد يفرحلج وخذيها من عندي أخلي زيد الحبيب يغنيلج أما ماكو شي بس ترند لا لا محد يقبل هيجي 😂,Iraq,INS,Women social,N
كرايبج كل هاي الفتره ماشايفيج وأنت تطلعين بهاي الهيئه !!!!,Iraq,INS,Women social,N
 چا لعد شنسويلهم خوية المستحة نعمة متنشري,Iraq,INS,Women social,N
دكلها لا عادي اني طالعه وي فاطمة قيدار عود هي طالعه وي زها حديد,Iraq,INS,Women social,N
لعد امج شكد راح تنسب من تزوجين وشكد راح يكولون عليه ماتعرف تربي,Iraq,INS,Women social,N
شكو ذنب احصله بذمتكم الي تنشرون هيجي زواعات,Iraq,INS,Women social,N
خليها تمثل اباحي 🤣,Iraq,INS,Women social,N
فاهيه كلشششششش,Iraq,INS,Women social,N
ادري هاي شبيها الاعلاميه طالعه ديوس بوجها 🥴,Iraq,INS,Women social,N
جريئا وعنيفه وراشديات عل طين,Iraq,INS,Women social,N
شون بهاي القباجه,Iraq,INS,Women social,N
طالعه ويه فاطمه قندار فد شخصيه عاد شلونج انتي وياها استغفر الله ربي شنو هالشكولات التطلعلي,Iraq,INS,Women social,N
هاي بنت القندرة محد يركعها نعال على وجها كلة منفوخ انوب اطلعلنة وين الخيسة خربتو سمعة البلد بهيج نماذج خايسة,Iraq,INS,Women social,N
يعني لو ما الخوف من الاهل والگرايب الله يعلم شسون ... يعني مخافت الله ماكو خجل ماكو شرف ماكو,Iraq,INS,Women social,N
إذا ظروفج صعبة شكو كل سنة تجيبين طفل حتى تعذبيه بهل الدنيا,Iraq,INS,Women social,N
"انه لو عايشه عيشتج حتى طفل واحد مااخلف
بس اريد افهم يمته تبطلون سالفة الطفل من يجي راح يجي رزقه وياه؟؟؟؟؟
ترى ماكو هيج فلم الله المن انطاكم عقل بروسكم؟؟؟؟
هيج حالتكم وتكودوهم وبعدين ينحرمون من ابسط حقوقهم ك اطفال",Iraq,INS,Women social,N
 مو مانع حمل مانع صواعق يرادلها بيها بلة جنان,Iraq,INS,Women social,N
لالا قصدچ ممثل هوه يحچي شي ويسوي شي لاخطيييه😂,Iraq,INS,Women social,N
ام حسون بيها خلل موطبيعي فاصل عدها النت كون يلتقي بيها العزيز اله يخزيها هههه😂,Iraq,INS,Women social,N
 يخزيهاا عليمن ع الفكر العايشه بي مره ع كد حالهه عايشه وحامده برهه جا مثلج مبايل وانترنيت وبربوء,Iraq,INS,Women social,N
على هل الحاله مطلوب من الدوله يوقفون التكاثر يحق لكل متزوج انجاب ٢ فقط حتى يسيطرون على الفقر والضيم,Iraq,INS,Women social,N
فوك فكرهن يخلفن كافي تجيبن وتعيشونهن بفقر وتالي تخلونهم يجدون بالشارع,Iraq,INS,Women social,N
عليمن يندم على هايشة نافخة روحهة,Iraq,INS,Women social,N
المتحرشه😂,Iraq,INS,Women social,N
😂 هية غير جنها طنطل,Iraq,INS,Women social,N
والك نعمه وجتك شمتاني ابو هريره 🤣,Iraq,INS,Women social,N
كون جيت انا لي نبوسها ماش هيا😂,Iraq,INS,Women social,N
الوجوه صايرة نسخ لصق😂 ماتميز ابد🤣تشبهه هاي الاعلامية,Iraq,INS,Women social,N
الخايسه مخلصتهه توصيل حته طبخ متعرف الفكر,Iraq,INS,Women social,N
اكثر اعلاميه مكروهاا عوذه من هاي الخلقه تفف عليج,Iraq,INS,Women social,N
لا لأ لأ يا آية ارجوج من غير شي أنتي سمينة هيا ناقصة الواحد يسمن 😂 لا يا آية مايصير كذا تكفين عود المذيعة تكون رشيقة 😂 بل عافيه عليج,Iraq,INS,Women social,N
ادري نعمة الله طبلين عليها,Iraq,INS,Women social,N
احححح العفصة البيضة😂,Iraq,INS,Women social,N
شرف تفضل طال عمرك خذلك على أية عاد الله يرزقك بس أكو فد شي ماعاد عرفنا هيا فاشنسيتا لو مذيعه لو مندوبه تسويق واعلانات لو شنو يا آية اني خايف يجي اليوم نلاقيج ترقصين 😂 يا آية,Iraq,INS,Women social,N
هاي البرابيك لامستحه ولا خجل,Iraq,INS,Women social,N
يعع شون عدهن نفسيه ياخذن شايب,Iraq,INS,Women social,N
منورة آية لا لا حرامات الحركة متعوب عليها مال فاشنسيتا مو مال إعلامية 😂,Iraq,INS,Women social,N
شني هاي صدرها شكبره 😂,Iraq,INS,Women social,N
وين الحلويات بالموضوع يمعودة دكولي ياالله شجابجن ع الحلويات كولي حمظيات بيها مجال😂,Iraq,INS,Women social,N
شنو هالرعب ياحلويات يمعودة,Iraq,INS,Women social,N
جنكم قناني غاز الشاشه راح تنفجر,Iraq,INS,Women social,N
خليل خوش مخلف قطع كلها منفخه ومصلخه تفرح الناظر,Iraq,INS,Women social,N
بس ام اسود يصف ام الوردي حلوه باقي اييع😂,Iraq,INS,Women social,N
ام الوردي دخيلك ربي😂😂 شوفووجهه ههههه اييع,Iraq,INS,Women social,N
آية آية لا تذلي الولد على مود محتاج انطيه وخله يتيسر على رزقه اه شبيج ما دا تركزين بل الفديو لمن تنزلينه وتصورينه ساعة تنطيه ساعة ترجعه آه لا ومن متابعيني بعد يعني تمننيه انا نفسي أفهم كيف تخرجتي إعلامية بس😂 قناة هنا العراق و الله لو تلقى بنية زينة وقوية ما خلتج فسخت العقد وياج وكالتلج يلا مع السلامه تأكدي والله مايصير هيجي سوالف يا آية اه,Iraq,INS,Women social,N
دنطيهن اله شلعتي كلبه,Iraq,INS,Women social,N
أولا وأخيرا كثر خيرك أصيلة ثانياً والاهم شنو اشوف البارح لله اليوم لا عبدالله شنو السالفة يا آية حسب السوق بسوق 😂,Iraq,INS,Women social,N
بل المناسبات آية متدينة لأبعد الحدود وكت الجد تصير من المعممين 😂 وكت ماكو شي تلاقي آية فري ستار آخر موديل وآخر أناقة عود صدق جذب 😂,Iraq,INS,Women social,N
كافي دكسن مو راح تنفجرين,Iraq,INS,Women social,N
شنو هاذا من حجاب هاذا استهزاء بالدين علمود الإمام تلبس الحجاب تطيع امر الإمام ولاتطيع امر الله سبحانه وتعالى عما يشركون,Iraq,INS,Women social,N
تروحلج فدوه فاطمه قيدار,Iraq,INS,Women social,N
مين العرصه الي بل صوره,Iraq,INS,Women social,N
وجهك تقول. زربت عدس 🤣😂,Iraq,INS,Women social,N
منج من شيطان يمعود شيطان تعلم على ايديج اشلونرتعوفينه,Iraq,INS,Women social,N
تف على هذا الوجه القذر,Iraq,INS,Women social,N
والثانيه وينها جنها هي هم عافتك,Iraq,INS,Women social,N
 والله يا اختي شبه قصتي هذا الشخص بس امها هجمت بيت بنتها بأيدها اصوري وصلت المرحله عينك عينك امها تكلها كدامي عوفي زوجج هذا اسود اني ازوجج احلى منه بعد بنتها شلون ما تطلع من الطريق اخر شي كتلها يا بنت الناس اختاري اني لو اهلج كالت أهلي والحمد لله على كل حال صار اللي صار ونفصلنا 🥀,Iraq,INS,Women social,N
ام. حيدر. مو وجه. نعمه. اغلبيه. مثل. ام. حيدر مثل الصرصور من يطلع. من المنهوله يموت,Iraq,INS,Women social,N
ام حيدر مو وجه نعمه هسه خدامة عد اهلها هذا مكانها مو مال بيت ورجال,Iraq,INS,Women social,N
يمعود ولا يهمك بكد الزبل النسوان,Iraq,INS,Women social,N
شهل المنظر! اي وعلي يسد النفس,Iraq,INS,Women social,N
اي وياي بالمدرسه شجابه هنا شوصله هل ملطلطه,Iraq,INS,Women social,N
هاي ولاتكعد مدام نفيخة 😂🤣,Iraq,INS,Women social,N
بيهة انفصام بل شخصية,Iraq,INS,Women social,N
ولو مرة بحياتج ستري نفسج يلعبان نفس انتِ وخلقتج,Iraq,INS,Women social,N
هاي مثل لمشتيهه ومستحيه اول شي عيب وبعدين دخلت بيهه طول وعرض...,Iraq,INS,Women social,N
القناه الي مشغلتج هي داريا بيج ما تصلحين القناة بس تسلكلك لو ملاقية أحسن جان فسخت العقد وياج تأكدي لان تصلحين فاشنسيتا مودل وليس مذيعة 😂,Iraq,INS,Women social,N
ثنينكم حموضه,Iraq,INS,Women social,N
شنو بنطرون بنفسقي شنو تضاريس شنو هاي حشاب وشعر طالع,Iraq,INS,Women social,N
الكلمه كوه تطلع من كد ما نافخه 😂,Iraq,INS,Women social,N
اخوان الچلحه وين راحت شو اختفت,Iraq,INS,Women social,N
لو تستحني ماكلتيه ولا طلعتي كصايبج,Iraq,INS,Women social,N
هاي بت جيرانه امداج🙌,Iraq,INS,Women social,N
والله اكر هاي مناذج الحموضه 😏,Iraq,INS,Women social,N
ولله وكت اذا تردين تصيرين اعلامية ضربي سيلكون بكل جسمج وتعالي ولازم يصير تركيز السليكون بالمؤخّرة حتى تجيبلهم مشاهدات,Iraq,INS,Women social,N
 والله نفس رأيي داكتبه وشفتج كاتبه ديحاولون يعدلون الموقف بس مديفيد الام والمذيعه خززززي,Iraq,INS,Women social,N
 الفلتر حاطته ذي اللي وجهها كنه صحن,Iraq,INS,Women social,N
خل يجون عندنا كلاب جائعة,Iraq,X,Socialite,N
ياخي مثل هذا بالنعل ينعدم,Iraq,X,Socialite,N
خلي ياكل تبن,Iraq,X,Socialite,N
نعلة على شرفكم اذا عدكم شرف,Iraq,X,Socialite,N
يستاهل السجن كل واحد يسوي هيچ,Iraq,X,Socialite,N
تحبون ذلة,Iraq,X,Socialite,N
عرااكة,Iraq,X,Socialite,N
غصتها تطلع بعافيتك,Iraq,INS,Socialite,N
نسئل الله ان لا يهني بحياته ولا بشوف الخير بس باع الغصه البگلبهاا ليش هيج الله لا يوفق كل ☝واحد يخون زوجته 🥺💔+ تقبل احد يسوي هيج بختك خلوو الله بين عيونكم حسبي الله ونعمه الوكيل عليك,Iraq,INS,Socialite,N
طيح الله حظك وحظ رجولتك وين احصل هيج تربية انطيها عيوني ولك وين تلكة هيج مرة بهالوكت,Iraq,INS,Socialite,N
مو الي بصفها جلحه متكدر بدون فلتر🤣,Iraq,INS,Socialite,N
لان جمل الجن الكبيرة ما تقدر تطلع من غير فلتر والا البنت ما تحتاج,Iraq,INS,Socialite,N
اهوو ما جان أمها متقبل تطلع بالسوشيال ميديا؟؟ على شنو جان الموضوع هسه هذا الفيديو على شنو,Iraq,INS,Socialite,N
ختولي يعد يمكن يريد يشوفها متحلف الها😂,Iraq,INS,Socialite,N
تره الغيمه الثجيله هوه حمار و روح ابحثوا و تاكدوا,Iraq,INS,Socialite,N
زربا,Iraq,INS,Socialite,N
هاي لناس الشاخطه وين تلكيهم 😂,Iraq,INS,Socialite,N
قحاب 😂,Iraq,INS,Socialite,N
والله محد يضرر غير المواطن الفقير قابل التاجر الله شاهد ورقيب هو قبل ما يرفعون عليهم الضرائب هم يرفعون بأسعار المواد في الأسواق على الفقير,Iraq,FB,Socialite,N
الشعب نايم اكعد ياشعب اكعد اكعد اكعد اشتاني بعدك نايم يمته تكعد وتصحه اكعد ولك راح يخلوك تجدي اكعد يلملط اكعد اكعد يسكران كافي نوم اككككككعععععد,Iraq,FB,Socialite,N
سيد طشة..غايته يجند اليوتبرية والإعلاميين حتى يطششونه..هو بالحقيقة لايعرفك ولامعترف بيك,Iraq,FB,Socialite,N
هسة جهز نفسك للتسقيط والسب حتة تدفع ثمن وقوفك مع الحق,Iraq,FB,Socialite,N
"كدرتهم بس ع الفقير
اي ماتروح لمحافظتك تشتغل شعندك ابغداد",Iraq,FB,Socialite,N
التجار وأصحاب المحلات لاعبين خلقه بل بلد يلموني فلوس يظمون ببيوتهم والاذيه عل موطن من النفايات ومن استغلال الشوارع والاماكن العامه ومن تشغيل الاجانب بثمن بخس واخفائهم عن القانون لابد من الضريبه حالكم حال الدول,Iraq,FB,Socialite,N
لوكي متحصل شي اخته ونكرها هذا النكره,Iraq,FB,Socialite,N
الله يطيح حظك يا خايس,Iraq,FB,Socialite,N
شعب خابط دهن وبنزين,Iraq,FB,Socialite,N
رفيقة وكنت. اسيرو اهواء الشيطان ياعجوز ياشيطانه التمجيد بالشيطان بيزيل الحسنات او وجهج شيطاﻧي مثل التمجدين بي.. ثانيا صدامج حطب جهنم ومنواحب قوما حشر معهم كنتن بالمقراتوالحزبية سايبات مرتزقة الخردة وناقلات للبراثن وانتهى الملايين منوالشعبىالعراقي بسببكن وسبب اشباهكم ياخنزيرة... تفوا طولهة ملئ الارض,Iraq,FB,Socialite,N
لو كذابه لواولادها خونه,Iraq,FB,Socialite,N
"العن ابوك الي خلت بل حفره وين شجاعه 
 نت كاش ماتعرف",Iraq,FB,Socialite,N
لعنة الله عليك ياابن المتناكه,Iraq,FB,Socialite,N
"انت لم تعيش بالعراق اثناء فترة حكم صدام حتى تعرف ماذا فعل صدام بالعراق وشعبه
مثل ما انا مالي حق امجد او اذم رئيسك لانكم انتم الشعب ادرى
وعليه كعراقي اقلك وباختصار
العن ابوك لبو صدام لبو امك العاهرة
لبو بنها",Iraq,FB,Socialite,N
طوفان طاكه المجاري بحلكه,Iraq,FB,Socialite,N
 انت لست عرااقي .فلا تحشر خشمك بأمور غيرك .العرااقيين فقط من حقهم ان ينتقدون صدام .لان أهل مكة ادرى بشعايها .,Iraq,FB,Socialite,N
"اخذو جزاهم وربما كان القتل قليل في حقهم",Iraq,FB,Socialite,N
شوف صماخة اكبر من بغل,Iraq,FB,Socialite,N
يعني همه يغلطون عليه عادي بس هو لا والله لواني من هذا الظابط اشبعهم نعل,Iraq,FB,Socialite,N
"شكبرة بگد البغل وهيجي يصرف الاعوج يبقى اعوج لو تنطي كنوز الدنيا ماسح اخلاقة بخراه
",Iraq,FB,Socialite,N
طاح حظ هيج ظابط ماعندة اخلاق مع الاسف علئ الرتبة الشايلهة,Iraq,FB,Socialite,N
هاي صدك تحجون اغلب العراقيين عايشين بؤس وحرمان وجوع زينهم بلد المليارات وين ضميرهم زين مرؤتهم وين,Iraq,FB,Socialite,N
"مالكيت غير هذاالمنظرالتافه اتق الله اترك دنياك واعمل لاخرتك هذي سوالف تعبانة ماتجدي نفع",Iraq,FB,Socialite,N
"انتي مبين عنك مرضي حتا تجيب تحشيك على امك",Iraq,FB,Socialite,N
"والله انت اندل خلق الله وحرام تكون عربى",Iraq,FB,Socialite,N
"هاي النعل وين يلكونها ويسون وياها لقائات
ولك طلي من تجذب جذب عدل",Iraq,FB,Socialite,N
"اوماكل خره ولا هالقصة",Iraq,FB,Socialite,N
"تعبان والي صورك اتعب",Iraq,FB,Socialite,N
الخزي والعار عليك هدا سيدك ياجزع نعل صدام اتفوه عليك ياحرمه وسامحوني على هده الالفاظ ومع احترامي للسيده رغد,Iraq,FB,Socialite,N
المعيدي من اصير عنده فلوس,Iraq,INS,Socialite,N
"يشرفك أيها اللقيط",Iraq,FB,Socialite,N
"كلهم حرامية وتقاسموا الكعكة والفقير وكع بيها",Iraq,FB,Socialite,N
"كسمك يا صاحب المنشور يا ابن الزانية",Iraq,FB,Socialite,N
"الله يرحمه ويجعل مثواه الجنة... انت عديم المرؤة وخسيس خسئت وخسئ أمثالك يا واطى...",Iraq,FB,Socialite,N
"الله يلعن والدك ياوصخ يابن العاهره",Iraq,FB,Socialite,N
"مع الاسف عليك
كل هذه الحرائم التي ارتكبت بحق العراقيين والبنات العفيفات والشريفات الاي تخطف من امام الكليات التي اغتصبت مو بعينك
مع الاسف على كل عراقي يخب عائلة الكاولية والغجر والقتل والنقابر الجماعية",Iraq,FB,Socialite,N
"سوالف قديمه تعيدون وتسقلون بهدام واولاده مجرمين",Iraq,FB,Socialite,N
"سبحان الذي أذل الطواغيت وكلابهم واذنابهم",Iraq,FB,Socialite,N
"هوا صديم بشر لي يسمي صديم بشر اكيد حيوان",Iraq,FB,Socialite,N
انت اعفن من العفن ليش لفيتهم عبالك يفيدوك مو ههههههههههه انت وياهم نفس الزباله سبحان الله,Iraq,FB,Socialite,N
"ياخاين ياخسيس
انت اوسخ واحد بهل دنية",Iraq,FB,Socialite,N
"اكل خره العن ابوك لابو شرفك مو كنت كواد للحمايات مال صدام حتى ينطوك مقاوله",Iraq,FB,Socialite,N
"والله انته اخسى من الخسه بذاتها ياعفن",Iraq,FB,Socialite,N
كاذب الله يلعنك...ضيوفك جانو ببيت صلاح اخوك لاكثر من ٣ اشهر وانت شخصيا كنت رايح جاي عليهم وجبتهم عندك بعد ما استلمت النصف مليون دولار ومابقو عندك اكثر من اربعة ايام ...هذا الكذب ماراح يفيدك بشي ..لاراح تكدر ترجع للعراق والي براسك احلام اليقضه فاحسن الك تنسها,Iraq,FB,Socialite,N
"هسه المفروض القشامر يضربون نفسهم بالنعل على هاي الدكه",Iraq,FB,Socialite,N
"ما يبشر بخير ابد",Iraq,FB,Socialite,N
"كلب وانت مقهور على الجنود العدموهم بساحة المعركه ..
انت كلب جبان",Iraq,FB,Socialite,N
"ياخنزير ياعميل ياابن الكلاب صهيوني خاين ابن كلاب تفووووووووه على شاربك",Iraq,FB,Socialite,N
"تحبون البطولات والعنتريات الفارغه",Iraq,FB,Socialite,N
"شيخ الخيانه هذا
علساس انت سويت زين
اذا جنت تكرهم و تكول هم مجرمين
لعد على شنو انت جنت وياهم
يا عميل يا خائن
جاي دور منصب مو",Iraq,FB,Socialite,N
"كلب لعنة الله عليه خائن زنديق خنزير ديوث",Iraq,FB,Socialite,N
حيوان كل شريف بالشعب يرفضك حتى الساقطين والساقطات ، الله ينتقم منك متاجرة بسيرة شهداء المومس اشرف منك,Iraq,FB,Socialite,N
كواد ماعليك عتب مطبل لغسيل اموال الطبقه الفاسده,Iraq,X,Socialite,N
