clean_text,labels,dialect_id
لك تفه لا تكيلو بنفس المكيال جاعو قلتلي؟ عذر هه,0,5
هذا رئيس الجواسيس اخزاه الله,0,8
دنيا ليدي قمرايه ورامي باشا واخلاق باشوات ربنا يسعدهم دايما,1,1
يعطيكم العافية علي ماتبذلونه من جهد لكن التصرف الي حصل معاي في مركز الجراحة التخصصية تصرف ماعهدناه علي مستشفيات الدولة الي تخدمنا كمواطنين احضر علي الموعد بالوقت وانتظر الدكتور 30 دقيقة تقريبا وبعدها يتغير الموعد الي ثلاث شهور قدام ،اقدم شكوي توصلني رسالة تم حل الشكوي ؟,1,2
كل صورة بطقم جديد عرض ازياء,0,5
حقيقي والله الناس الطيبة تفرض اخلاقها لدرجة ما تقدري ترفضيه اتمني الشاب عندنا يوصل لدي المرحلة الي يقدر يقنع البنت بيه بكل ثقة انه قادر يتحمل مسؤوليتها وانها في امان معاه بافعاله واخلاقه ووقفاتهلو احد ثاني حيقول تستاهل خليها رفضتني ‍♀️,1,10
رانا معاكم يد في يد خاوة خاوة,1,0
كسمه,0,8
يالبي المراة السعودية بس,1,9
احلا يوم والله يريد لو في السودان بس انتو موجودين بتكملو لينا تعيش السودان,1,10
بحسو معو انفصام شخصية,0,4
دي اصلا مهزقة و تنحة,0,1
الكويت هذا اقوة شي عدهم ايخرجون مجانين,0,2
مسخرة اللهم ولي علينا خيارنا ولا تولي علينا شرارنا الحوثي جالس ينشر الكفر اكراها في مناطق السنة في اليمن وقد عمل علي تغيير المناهج الدراسية واملائها كفرا وخرافات وغير الاذان للصلاة ويعمل دورات ثقافية اجبارية للاطفال وطلاب المدارس الابتدائية والاعدادي والثانوي وتعليمهم حمل السلاح والرماية بدلا من العلم والنور انه ينشر الجهل والفقر والكفر والخرافات والرذيلة والفاحشة في كل مناطق سيطرته يا ياابناء اليمن اعلموا ان الاسلام والمسلمين في بلادنا في خطر فقفوا ضد هذا الباطل وجاهدوا باموالكم وانفسكم في سبيل الله ورفع الظلم عن المظلومين ولا تعولوا علي هذه الحكومة التي ليس لها من الامر شيئا ولا يهمها الا المناصب والمال وهم لا يمثلوا الشعب اليمني العزيز الكريم فوالله الذي لا اله غيره لو ان هناك خمسة الاف مجاهد مخلصون لله وعلي طريق الله وهدفهم اعلاء كلمة الله سوف ينتصرون ويطهروا اليمن من دنس الكفر الحوثي,0,13
انت براسك منهم كديري اشهارات للكورة لخرجات علي امة وخلاتها حالة فمها انتم خاصكم غير الموجة علاش تركبو لو كان فيكم خير لما اشهرتم اشياء لا تفيد ولا تغني الامة فقط تسمم عقولهم,0,7
غير اللي سمحات فيه صحبتو كاييقي يكتب امي قبل كل شيءدابا عاد يانتلك امك امسخوط الوالدين,0,7
المغرب منكوح نهائيا زادت عليكم الاعاصير والتشرد,0,7
كل العلمانجيه والتسونجيه والملحاديه حسهم عند التعري فقط واستباحه جسد المراه بكل مكان وزمان ماتحت السرة همهم لاتعني لهم المراه كانسان مكرم وعزز ومضطهد هذة المراه المظلومه المقهورة لاتعنيهم اهم شي يريدونها عاريه هذة شغلتهم,0,10
بالتوفيق ي اختنا مبدعه دايما. و اصحباتك كلميهن. يا مرحبا فيهن ب اليمن فوق العين والراس، وانا احي حشمتك و ادبك وانتي من اليمنيات التي نفتخر فيها ب المهجر تحياتي لك ❤,1,13
انت شفت كشة بتاعة عودة؟ لقد انتهي زمن البدل والكرفتات والاقامة في الفنادق الفاخرة . انتم من ستعادون قسريا وتعرضوا علي المحاكم . ستشربون من ذات الكاس التي شرب منها السودانيون بسبب افعالكم . لن يهدا لنا بال الا بعد رؤيتكم مرتدين الدمورية الحمراء مكبلي الايادي,0,10
لا خلا ولا عدم منكم,1,2
اللهم اغفر لها وارحمها ايقونة ليبية مميزة تاريخ مشرف للدولة الليبية شخصيات محترمة متعلمة من رواد العلم والمعرفة .نفتخر بكم احياء واموتا.,1,6
واحد ما يقدر ينحيلو حب الوطن من بلادو .,1,0
بتوجيهات فخامة الرئيس محمود عباس، تتجدد مسؤولية النخب الفلسطينية في صون الرواية الوطنية وكتابتها بوعي وسيادة، فالتاريخ الذي يكتب بايد فلسطينية هو خط الدفاع الاول عن الحقيقة والهوية.,1,8
محلاكي ومحلا الطاقات الحلوه تاعتك,1,8
هية غير جنها طنطل,0,3
كان قطوسه ولا كلبه راهو ماهان عليها ضنوتها,0,6
خنزير مصنوع في تل ابيب,0,8
نحب ترجي اما محلاك و نقعدو وخيان و جيران ❤️,1,12
استغفر الله الامارات واهلها وقلوبهم وبيوتهم مفتوحة للكل بدون استثناء وانتو ناس طيبة وعزيزين النفس والكرامة والمحبة والله يوفقكم ويرزقكم الرزق الحلال الطيب,1,2
حسبي الله ونعم الوكيل فيكم ضيعتوا فلسطين,0,8
نعرفو الاسلام تاعكم ههه هه كي ما صبتيش عليها فالزين لحقتيها للدين ههه هه,0,0
الملك الذي اعطي واغدق تاج علي رؤوس المغاربة وهو في صمت يواصل بناء الاجداد حفظكم الله مولاي الملك المعظم وعافاكم الشافي وساءر الاسرة الكريمة.,1,7
عجوزة,0,5
نسال الله ان يكرمها بالهداية للاسلام دين الحق,1,8
كل شيء مربوط ببعضهسوء معاملة الحيوانات ترتد علي حالة الانسانهاو باش نفسرلك كيفاشكيف انت تربي صغيرك علي ان الحيوان مجرد كاءن نتفرجو عليه او هو شيء متسخ يعيش في القمامة،لا يشعر ،لا يتالم مثله ستعطل بداخله نمو الذكاء العاطفي اللذي يجعله يتعاطف مع الضعيف ومع المظلوم ومع المستضعفاحنا مجتمع مصاب بالتوحد،يعتقد انه يختصر العالم،انه كل العالم وان علي العالم كله ان يخضع لاحتياجاته،يكلمك مطولا عن حقوقه ومظالمه والامه ومعاناته ولا يسمعك عندما انت تبدا في الكلام عن مشاغلك،حتي عندما يدعو الله،يدعوه ان يغدق عليه وعلي بني جنسه فقط. مجتمع لا يشعر لا بالحيوان ولا بالانسان لانه منذ الصغر تربي علي منطق روحي روحي ،ماكلي،مشربي،رفاهي،اماني،قرايتي،نجاحاتي،عاءلتي،اولاديهل اعترضك مثلا ،مرة ام او اب ماسك بيد صغيره ويقول له اليوم سنزور اطفال SOS لنلعب قليلا مع الاطفال هناك؟لا طبعا ،كما انك لا تري اسرة صغيرة خارجة من بيتها في البرد لاطعام بعض قطط الشوارع في اخر النهجتلك هي روحنا ،عقليتنا،راسمالنا الفكري_العاطفي اللذي ننشا عليه و يبقي في عمقنا عندما نمارس مهامنا ومسؤولياتنا,0,12
عيله مهبوله,0,8
يسلم فووومك ياوزيرتنا يلا امشو عرسو برواتبكم المابتكفي لنص الشهر . يعرس ركبينكم رجال جنهم عرس,0,10
ملهاش علاقة بالانوثة واي كلام غير كدا يبقي الصنف مضروب,0,1
بغض النظر عن الدعاية الممتازة ❤️ فيديو علي قد ما يفرح علي قد ما يعبي العينين بالدموع دموع الحسرة و الفقد للاحبة الي كانوا يلموا الشمل و علي خاطرهم الناس الكل تتلم ❤️❤️❤️ يرحم وريدا و ربي يسعدك يا طفلة محلاااك,1,12
الي في التعليقات فعلا ناس تافهين,0,8
بغيت نقول كلمة في حق حلاق خويا وش تعلمتي في زريبة حرام عليك شوهتينا مع براني,0,7
زي القمر,1,1
انا من الجزائر وعاش هاد الملك الدكي يفهم لوقت كي غاديا,1,0
والله يا اختي شبه قصتي هذا الشخص بس امها هجمت بيت بنتها بايدها اصوري وصلت المرحله عينك عينك امها تكلها كدامي عوفي زوجج هذا اسود اني ازوجج احلي منه بعد بنتها شلون ما تطلع من الطريق اخر شي كتلها يا بنت الناس اختاري اني لو اهلج كالت اهلي والحمد لله علي كل حال صار اللي صار ونفصلنا,0,3
خروف حاج بتصيح.,0,11
كل التحيه والاحترام والتقدير للمهندس الله يعطيكم العافية دائما مبدع,1,4
يا تافهة يا بهيمة اذا انتي حابة تكوني بهيمة خنzيرة لا دين ولا انسانية بكيفك بس خلي هالشي بينك وبين حالك واتركي باقي الاديان بدون كذبك وافتراءك هذا الفديو في روسيا واللي فيه روس والبنت الصغيرة بنت اخت الشاب لقطة تمثيلية غير حقيقية هم متفقين عليها يا سافلة,0,10
والله صدق الله يسعده وين ماراح,1,9
ما تفتحي رجلك شويه كده ممكن تفرجني سكس,0,10
هؤلاء الاوباش والخونة لايريدون الاسفرار للشعب السوداني وهذا من ضمن مشروع التفكيك لصالح دويلة الخمارات وابو نجمة,0,10
والله لو شيخ علم ما هتميتو منه لاكن فنان ماتقصرون قايمين بالواجب,0,2
جز مة السيسي اشرف منك ومن الو سخ ابوك يا محمه,0,1
العربي بن مهيدي عاش رجل ومات شهيد,1,0
يخرب بيتك شومتطفله عاساس لوانتي قادرة تجيبي وحده تريحك بتوفري خلي المخلوقه بحالهاواهتمي بنفسك يقطعك ويقطع اللي مثلك,0,8
الملك ديالنا قلبه كبير وطيب بزاف بكيت مني قال كلمه ديال اخي عزيز تبون,1,7
نيالنا والله فلسطينية غزاوية واقطع,1,8
حلقة رائعة جزاكم الله خير والحمدلله علي سلامة سلام وربي يمن عليها الشفاء التام وربي يعطي الكادر الطبي الصحة والعافية ويقويهم وسوما بتكبر وبتروح المدرسة وبتكون طبيبة مثل ما امها تتمني باذن الله ❤️,1,10
ياخي برهومي شنو عمر ده الضحكه كلها حرم انته المصبرنا علي البلد دي,1,10
ديما مغرب تحياتي لكم من فرنسامشاءالله عليك يا بلادي مغرب ♥️♥️,1,7
النسويه هي اللي خلتك تعرفي تقولي رايك الزق ذا,0,9
فيديو جميل يبين اجواء رمضان بشكل جميل بس المره الياية لو ما يقرب جي صوب البنات حسيتها بتدخل الدبة ما شاء الله بناتنا حشام وادري يمكن ما يقصد والبنت صغيرونه بس بعد فديتهم,1,2
والله طريقة اسلام عند اخوانا لمقارحة زي الي عندنا في الساقية الحمراء (الجمهورية العربية الصحراوية ) تحياتي اخي محمد وكل عام وليبيا الحبيبة فخير وفرح ومسرات ولم شمل هلها,1,6
واش يجيك من الكوافا والسراق مهم شايفين والو داخلين برشوة,0,0
اخراهيل تقتل تهجر وتدمر علي كيفها واحتاج نرقع ونخسر ثرواتنا لاجل سواد عيونها,0,2
الاردن صامد ورح يضل دايما صامد ومش عارفه ليش الحقد علي الاردن,1,4
ابستين ليبيا,0,6
هذول هم الابطال مش بس ورا قصص فارطه رجال والله,1,4
اعلباكوم الجزائري يخاف غير من ربي سبحانو,1,0
الله يفرجها علي الجميع بالخير,1,5
ولكن قالوها وجهك قاصح معندكش علاش تتحشمي فمك خانز نطلبو ليك الحبس وتسد القنات,0,7
تحيه لي سيد الرئيس و لي كل موظفي الدولة الاحرار و ليهم ضمير للوطنية الخضراء ️,1,12
نتي لي بوزبال يا الملحدة الخانزة,0,7
سد نيعك انت يا ks,0,5
ادري نعمة الله طبلين عليها,0,3
صدقت انا عشت تحت القذافي 31سنه كانت حياه صعبه من فرص العمل نسبه البطاله بين الشباب في سنه 2009لي اكتر من 40% وضعف المرتبات ومشاكل السكن والبنيه التحتيه وان لم تكن طبال لي النظام فسياكلك {المالح} الفقر,1,6
صوت مصري خالص وطفلة مصرية اصيلة بلون اسمر مصري اصيل وصوت وحنجرة ذهبية,1,1
لالا والله ربي يرحمو هذوك خاوتنا .نحكي علي الي شابعين علي بلادهم برك .,1,6
اذا الواحد حكي كلمة حق صار فلول يفلفل راس امك علي التخلفه الخرا يعني حضرتك مبسوط بهالوضع ياخرا,0,11
ما شفنا تخوين. لما سوتها الامارات ما بقي كلب ما تكلك,0,2
طيران الجيش العراقي الباسل حفظكم الله وثبت اقدامكم ونصركم بنصره بحق محمد وال محمد,1,3
سود الله وجهك برونزية !,0,9
تحيا الدولة الوطنية التونسية و يحيا الرءيس الشريف السيد قيس سعيد المخلص لله و للوطن التونسي.,1,12
تهبببل الله يخليها لكم و يحفظها ❤️,1,2
النصر للاسلام والمسلمين والمسلمات الاحياء الله يحمي,1,8
عاوزين نشوفك يانجم,1,1
لمهم القي كلمه زلمه,1,11
فيديو غزال بتوفيق,1,7
قرار سليم وبخفف الزحمه,1,9
نوب لمن تنزل وتضربه الدنيا تنكلب عليك وابن الدوله يتفل علي العالم مايحاسبه الوزير ويسوي عبره لغيره,0,3
وربي كفو هذي القرارات الحلللوهه,1,9
حفظك الله فوق كل ارض وتحت كل سماء,1,13
كل هذاكذب وتشوية,0,13
البركه ف محمدرمضان والفن القبيح,0,1
سلم الله لبنان الارز والجمال لكننا نرجو منهم سرررعة اطلاق سراح المعتقلين السوريين وسواهم من المظلومين,1,5
اجمل قائد انت قائد المسلمين في العالم,1,11
الله يرحمه جانت امي تحجي النا هوايه قصص عنه وعن شلون انظلم بعض الصور وشلون نفسه كريمه ومااخذ من الدوله شي وشلون دخل معمل الشكر للبلد وهوايه اشياء الله يرحمه برحمته الواسعة ويدخله اوسع جناته,1,3
لك عشت وعاشت سوريا حرة ابية,1,11
خطوة حلوة في تنظيم سوق العمل كثير ناس كانوا محتاجين هذا التعديل من زمان,1,9
ربنا ينصره ويثبت اقدامه نصر من الله عزوجل,1,10
مفصومه انتي اكيد اطول طفه بلتاريخ لازم تاكليها بنص خلقتك تففف,0,5
حساب منحل يبي يضيع البنت السعوديه وهي اشرف منك,0,9
اطلعي منه موضوع عادي فيه جو عندي ومش لازم سب و شتم و تشبه بالحيوانات,0,6
من افضل ماقرات . الله يعطيك العافية,1,9
هتوبي امتي ياولية,0,1
هانتا قلتيها . رطب معندو ميدير فبلاد رجالا,0,7
غير حيت نتا حازق داكشي باش كتفكر هاكا اما هادو راه كيعرضو عليهم العشا وكيوصلها حتي لدار ماشي وجنتل مان بزاف عليكم يالمحكطين,0,7
انهم فتية امنوا بربهم ، انهم خير اجناد الارض ، انهم والله خير من حملت الارض علي ظهرها وفي انفاقها في زمننا الردي هذا، الويل والعار لكل من خذلهم,1,8
يامشرد تفريق الخليج هذي امانيكم لكن خسئت يا فلسطز,0,9
انتي بس شاوري وحتلقين كل الدنيا تحبجك,1,2
معك مشاكل عقليه قلتلك وفري تعويضك ابي فلوسي,0,9
في الوعي نجد مساحة السلام مع النفس ومع الاخر حتي نستطيع ان نري الاشياء علي حقيقتها عام و انتي بخير كنداكة سوزان كل عام و نحن و الوطن جميعنا بخير و سلام و امان و محبة ♥️,1,10
وهي واخده كام عشان تتطلع معاك انت ي معفن,0,4
للاسف انت كاذب كبير انا لبنانية ولست من بيئة حزب اللهوالحزب استقبله باعلام لبنان وفرقة كشافة المهدي تعزف له موسيقي ترحيبية عيب عليك فبركة الاكاذيب هدفك الفتنة كما اي اسرائيلي انت مقزز,0,5
مصري نطع متحرش,0,1
❤️❤️❤️❤️ احلي رئيس الجمهورية العربية السورية منور حبيب ئلب,1,11
السيد تبون يعمل ارض ارض ، حمد الله الجزاير راهي تسيير في طريق الصحيح وهدا برجالها ،,1,0
الحمد لله وبتمام هذا اليوم الخرطوم محرره باذن الله ونار التقابة لقراءة القران ستعود من جديد وستعود الخلاوي والمساجد تعمر بالمصلين,1,10
قطيعه تقطع شكلك وشكل ثمك,0,4
ده اسدالعرب يابني دة سيدك وسيد ابوك,1,3
نوايل زوايل,0,0
